LLS Type,Name,Reference
0,Reserved,[RFC5613]
1,Extended Options and Flags,[RFC5613]
2,Cryptographic Authentication,[RFC5613]
3,Flooding-MPR,[RFC5449]
4,Metric-MPR,[RFC5449]
5,Path-MPR,[RFC5449]
6,State Check Sequence TLV,[RFC5820]
7,Neighbor Drop TLV,[RFC5820]
8,Request From TLV,[RFC5820]
9,Full State For TLV,[RFC5820]
10,Active Overlapping Relay TLV,[RFC5820]
11,Willingness TLV,[RFC5820]
12-13,Unassigned,
14,MDR-Hello,[RFC5614]
15,MDR-DD,[RFC5614]
16,MDR-Metric,[RFC5614]
17,IPv6 MTU TLV,[RFC5838]
18,Local Interface ID TLV,[RFC8510]
19,Reverse Metric TLV,[RFC9339]
20,Reverse TE Metric TLV,[RFC9339]
21,Local Interface IPv4 Address TLV,[RFC-ietf-lsr-ospf-bfd-strict-mode-10]
22-32767,Unassigned,
32768-65535,Reserved for Private Use,[RFC5613]
