Value,TLV Name,Reference
0,Reserved,[RFC7770]
1,Router Informational Capabilities,[RFC7770]
2,Router Functional Capabilities,[RFC7770]
3,TE-MESH-GROUP TLV (IPv4),[RFC4972]
4,TE-MESH-GROUP TLV (IPv6),[RFC4972]
5,TE Node Capability Descriptor,[RFC5073]
6,PCED,[RFC5088]
7,OSPF Dynamic Hostname,[RFC5642]
8,SR-Algorithm TLV,[RFC8665]
9,SID/Label Range TLV,[RFC8665]
10,Node Admin Tag TLV,[RFC7777]
11,S-BFD Discriminator,[RFC7884]
12,Node MSD,[RFC8476]
13,Tunnel Encapsulations,[RFC-ietf-ospf-encapsulation-cap-09]
14,SR Local Block TLV,[RFC8665]
15,SRMS Preference TLV,[RFC8665]
16,"Flexible Algorithm Definition TLV (TEMPORARY - registered 2018-06-04, extension registered 2020-05-12, expires 2021-06-04)",[draft-ietf-lsr-flex-algo]
17,"OSPF Area Leader Sub-TLV (TEMPORARY - registered 2019-07-31, extension registered 2020-06-19, expires 2021-07-31)",[draft-ietf-lsr-dynamic-flooding]
18,"OSPF Dynamic Flooding Sub-TLV
        (TEMPORARY - registered 2019-07-31, extension registered 2020-06-19, expires 2021-07-31)",[draft-ietf-lsr-dynamic-flooding]
19-32767,Unassigned,
32768-32777,Experimentation,[RFC7770]
32778-65535,Reserved,[RFC7770]
