Value,LSA Function Code Name,Reference
0,Reserved,[RFC-ietf-ospf-rfc4970bis-07]
1,Router-LSA,[RFC5340]
2,Network-LSA,[RFC5340]
3,Inter-Area-Prefix-LSA,[RFC5340]
4,Inter-Area-Router-LSA,[RFC5340]
5,AS-External-LSA,[RFC5340]
6,Deprecated,[RFC5340]
7,NSSA-LSA,[RFC5340]
8,Link-LSA,[RFC5340]
9,Intra-Area-Prefix-LSA,[RFC5340]
10,Intra-Area-TE-LSA,[RFC5329]
11,GRACE-LSA,[RFC5187]
12,OSPFv3 Router Information (RI) LSA,[RFC-ietf-ospf-rfc4970bis-07]
13,Inter-AS-TE-v3 LSA,[RFC5392]
14,OSPFv3 L1VPN LSA,[RFC5523]
15,OSPFv3 Autoconfiguration (AC) LSA,[RFC7503]
16-255,Unassigned,
256-8175,Reserved,[RFC-ietf-ospf-rfc4970bis-07]
8176-8183,Experimentation,[RFC-ietf-ospf-rfc4970bis-07]
8184-8190,Vendor Private Use,[RFC-ietf-ospf-rfc4970bis-07]
8191,Reserved,[RFC-ietf-ospf-rfc4970bis-07]
