PEN,Integer,Name,Reference
0,0,Testing,[RFC5792]
0,1,Attribute Request,[RFC5792]
0,2,Product Information,[RFC5792]
0,3,Numeric Version,[RFC5792]
0,4,String Version,[RFC5792]
0,5,Operational Status,[RFC5792]
0,6,Port Filter,[RFC5792]
0,7,Installed Packages,[RFC5792]
0,8,PA-TNC Error,[RFC5792]
0,9,Assessment Result,[RFC5792]
0,10,Remediation Instructions,[RFC5792]
0,11,Forwarding Enabled,[RFC5792]
0,12,Factory Default Password,[RFC5792]
0,13,SWIMA Request,[RFC-ietf-sacm-nea-swima-patnc-05]
0,14,Software Identifier Inventory,[RFC-ietf-sacm-nea-swima-patnc-05]
0,15,Software Identifier Events,[RFC-ietf-sacm-nea-swima-patnc-05]
0,16,Software Inventory,[RFC-ietf-sacm-nea-swima-patnc-05]
0,17,Software Events,[RFC-ietf-sacm-nea-swima-patnc-05]
0,18,Subscription Status Request,[RFC-ietf-sacm-nea-swima-patnc-05]
0,19,Subscription Status Response,[RFC-ietf-sacm-nea-swima-patnc-05]
0,20,Source Metadata Request,[RFC-ietf-sacm-nea-swima-patnc-05]
0,21,Source Metadata Response,[RFC-ietf-sacm-nea-swima-patnc-05]
0,0xffffffff,Reserved,[RFC5792]
