Value,Description,Reference
0,Reserved,[RFC5440]
1,IGP metric,[RFC5440]
2,TE metric,[RFC5440]
3,Hop Counts,[RFC5440]
4,Aggregate bandwidth consumption,[RFC5541]
5,Load of the most loaded link,[RFC5541]
6,Cumulative IGP cost,[RFC5541]
7,Cumulative TE cost,[RFC5541]
8,P2MP IGP metric,[RFC6006]
9,P2MP TE metric,[RFC6006]
10,P2MP hop count metric,[RFC6006]
11,"Segment-ID (SID) Depth. (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
12,Path Delay metric,[RFC-ietf-pce-pcep-service-aware-13]
13,Path Delay Variation metric,[RFC-ietf-pce-pcep-service-aware-13]
14,Path Loss metric,[RFC-ietf-pce-pcep-service-aware-13]
15,P2MP Path Delay metric,[RFC-ietf-pce-pcep-service-aware-13]
16,P2MP Path Delay variation metric,[RFC-ietf-pce-pcep-service-aware-13]
17,P2MP Path Loss metric,[RFC-ietf-pce-pcep-service-aware-13]
18,Number of adaptations on a path,[RFC-ietf-pce-inter-layer-ext-12]
19,Number of layers on a path,[RFC-ietf-pce-inter-layer-ext-12]
20-255,Unassigned,
