Value,Description,Reference
0,Reserved,[RFC5440]
1,NO-PATH-VECTOR TLV,[RFC5440]
2,OVERLOAD-DURATION TLV,[RFC5440]
3,REQ-MISSING TLV,[RFC5440]
4,OF-List,[RFC5541]
5,Order TLV,[RFC5557]
6,P2MP capable,[RFC6006]
7,VENDOR-INFORMATION-TLV,[RFC7470]
8-15,Unassigned,
16,"STATEFUL-PCE-CAPABILITY (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
17,"SYMBOLIC-PATH-NAME (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
18,"IPV4-LSP-IDENTIFIERS (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
19,"IPV6-LSP-IDENTIFIERS (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
20,"LSP-ERROR-CODE (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
21,"RSVP-ERROR-SPEC (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
22-25,Unassigned,
26,"SR-PCE-CAPABILITY (TEMPORARY - registered 2015-08-14, extended 2016-06-29, expires 2017-08-14)",[draft-ietf-pce-segment-routing]
27,Unassigned,
28,"PATH-SETUP-TYPE (TEMPORARY - registered 2015-08-14, extended 2016-06-29, expires 2017-08-14)",[draft-ietf-pce-lsp-setup-type]
29-65535,Unassigned,
