Identifier,Name,Description,Reference,Change Controller
Output,Singleton,,[RFC8911],IETF
Output,Raw,multiple singletons,[RFC8911],IETF
Output,Count,,[RFC8911],IETF
Output,Minimum,,[RFC8911],IETF
Output,Maximum,,[RFC8911],IETF
Output,Median,,[RFC8911],IETF
Output,Mean,,[RFC8911],IETF
Output,95Percentile,95th Percentile,[RFC8911],IETF
Output,99Percentile,99th Percentile,[RFC8911],IETF
Output,StdDev,standard deviation,[RFC8911],IETF
Output,Variance,,[RFC8911],IETF
Output,PFI,"pass, fail, inconclusive",[RFC8911],IETF
Output,FlowRecords,descriptions of flows observed,[RFC8911],IETF
Output,LossRatio,"lost packets to total packets, <=1",[RFC8911],IETF
