Value,Description,Reference
1,IP,
2,IP with trailing headers,
3,Address Resolution Protocol,
4,Proteon HDLC,
5,VAX Debugging Protocol (MIT),
10,"Novell NetWare (IPX and pre-IPX) (old format,
3 byte trailer)",
11,Vianetix,
12,PUP,
13,Watstar protocol (University of Waterloo),
14,XNS,
15,Diganostics,
16,Echo protocol (link level),
17,Banyan Vines,
20,DECnet (DEUNA Emulation),
21,Chaosnet,
23,IEEE 802.2 or ISO 8802/2 Data Link,
24,Reverse Address Resolution Protocol,
29,TokenVIEW-10,
31,AppleTalk LAP Data Packet,
33,Cornell Boot Server Location Protocol,
34,"Novell NetWare IPX (new format, no trailer,
new XOR checksum)",
