Media Type,Organization,Contact
application/odm+json,CDISC,[Sam_Hume]
application/json-nd,ECMA,[Glen_Kleidon]
application/cert-chain+cbor,IETF,[draft-yasskin-http-origin-signed-responses]
application/ion,IETF,[Jonathan_Hohle]
application/pkix-keyinfo,IETF,[draft-hallambaker-mesh-udf]
application/signed-exchange,IETF,[draft-yasskin-http-origin-signed-responses]
application/webbundle,IETF,[draft-yasskin-wpack-bundled-exchanges]
image/jxl,ISO/IEC JTC 1,[Touradj_Ebrahimi]
image/j2is,ITU-T and ISO/IEC JTC 1,[ISO-IEC_JTC_1-SC_29-WG_1_Convenor]
application/akn+xml,OASIS,[Chet_Ensign]
text/nfo,Seantek,[Sean_Leonard]
application/reports+json,W3C,[Douglas_Creager]
application/rif+xml,W3C,[Sandro_Hawke]
application/wasm,W3C,[Eric_Prud'hommeaux]
text/shex,W3C,[Eric_Prud'hommeaux]
application/won,IETF/W3C/other,[Roy_T._Fielding]
