Parameter,ID Length,Description,Reference
0x01,4,Interface MTU in octets,[RFC8077]
0x02,4,Maximum Number of concatenated ATM cells,[RFC4717]
0x03,up to 82,Optional Interface Description string,[RFC8077]
0x04,4,CEP/TDM Payload Bytes,[RFC4842]
0x05,4,CEP options,[RFC4842]
0x06,4,Requested VLAN ID,[RFC4448]
0x07,6,CEP/TDM bit-rate,[RFC4842]
0x08,4,Frame-Relay DLCI Length,[RFC4619]
0x09,4,Fragmentation indicator,[RFC4623]
0x0A,4,FCS retention indicator,[RFC4720]
0x0B,4/8/12,TDM options,[RFC5287]
0x0C,4,VCCV parameter,[RFC5085]
0x0D,up to 256,bytes ROHC over MPLS configuration [RFC3241],[RFC4901]
0x0E,4,Number of TDMoIP AAL1 cells per packet,[RFC5287]
0x0F,up to 256,bytes CRTP/ECRTP/IPHC HC over MPLS configuration [RFC3544],[RFC4901]
0x10,4,TDMoIP AAL1 mode,[RFC5287]
0x11,8 or more,TDMoIP AAL2 Options,[RFC5287]
0x12,,Reserved,[RFC6307]
0x13,,Reserved,[RFC6307]
0x14,,Reserved,[RFC6307]
0x15,,Reserved,[RFC6307]
0x16,4,Stack capability,[RFC6575]
0x17,4,Flow Label,[RFC6391]
0x18,4,PW Generic Protocol Flags,[RFC6478]
0x19,variable,VCCV Extended CV Parameter,[RFC7189]
0x1A,8,E-Tree,[RFC7796]
0x1B,variable,Selective Tree Interface Parameter,[RFC-ietf-pals-p2mp-pw-04]
0x1C-0xFC,,Unassigned,
0xFD,up to 8,Zte optional Supplier private interface parameters,[Zhu_Wei]
0xFE-0xFF,,Unassigned,
