Value,Description,Reference
1,TMOD-1,[RFC5975]
2,TMOD-2,[RFC5975]
3,Path Latency,[RFC5975]
4,Path Jitter,[RFC5975]
5,Path PLR,[RFC5975]
6,Path PER,[RFC5975]
7,Slack Term,[RFC5975]
8,Preemption Priority & Defending Priority,[RFC5975]
9,Admission Priority,[RFC5975]
10,RPH Priority,[RFC5975]
11,Excess Treatment,[RFC5975]
12,PHB Class,[RFC5975]
13,DSTE Class Type,[RFC5975]
14,Y.1541 QoS Class,[RFC5975]
15,TMOD Extension,[RFC5976]
16,Restoration Priority,[RFC5976]
17,PHR_Resource_Request,[RFC5977]
18,PHR_Release_Request,[RFC5977]
19,PHR_Refresh_Update,[RFC5977]
20,PDR_Reservation_Request,[RFC5977]
21,PDR_Refresh_Request,[RFC5977]
22,PDR_Release_Request,[RFC5977]
23,PDR_Reservation_Report,[RFC5977]
24,PDR_Refresh_Report,[RFC5977]
25,PDR_Release_Report,[RFC5977]
26,PDR_Congestion_Report,[RFC5977]
27-255,Unassigned,
256-259,Reserved for Private/Experimental Use,[RFC5975]
260-4095,Reserved,[RFC5975]
