Message Sequence Value,Object Combination Value,Description,Reference
0,0,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
0,1,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
0,2,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
0,3-15,Unassigned,
1,0,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
1,1,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
1,2,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
1,3-15,Unassigned,
2,0,QSPEC objects as specified in [RFC-ietf-nsis-qspec-24],[RFC5975]
2,1-15,Unassigned,
3-15,0-15,Unassigned,
