Value,Description,Reference
1,integer,[RFC2865][RFC8044]
2,enum,[RFC2865][RFC8044]
3,time,[RFC2865][RFC8044]
4,text,[RFC2865][RFC8044]
5,string,[RFC2865][RFC8044]
6,concat,[RFC8044]
7,ifid,[RFC3162][RFC8044]
8,ipv4addr,[RFC2865][RFC8044]
9,ipv6addr,[RFC3162][RFC8044]
10,ipv6prefix,[RFC3162][RFC8044]
11,ipv4prefix,[RFC6572][RFC8044]
12,integer64,[RFC6929][RFC8044]
13,tlv,[RFC6929][RFC8044]
14,vsa,[RFC2865][RFC8044]
15,extended,[RFC6929][RFC8044]
16,long-extended,[RFC6929][RFC8044]
17,evs,[RFC6929][RFC8044]
