Value,Description,Reference
1,Start,[RFC2866]
2,Stop,[RFC2866]
3,Interim-Update,[RFC2866]
4-6,Unassigned,
7,Accounting-On,[RFC2866]
8,Accounting-Off,[RFC2866]
9,Tunnel-Start,[RFC2867]
10,Tunnel-Stop,[RFC2867]
11,Tunnel-Reject,[RFC2867]
12,Tunnel-Link-Start,[RFC2867]
13,Tunnel-Link-Stop,[RFC2867]
14,Tunnel-Link-Reject,[RFC2867]
15,Failed,[RFC2866]
18,Subsystem-On,[https://freeradius.org/rfc/acct_status_type_subsystem.html][Alan_DeKok]
19,Subsystem-Off,[https://freeradius.org/rfc/acct_status_type_subsystem.html][Alan_DeKok]
