Value,Description,Reference
1,User Request,[RFC2866]
2,Lost Carrier,[RFC2866]
3,Lost Service,[RFC2866]
4,Idle Timeout,[RFC2866]
5,Session Timeout,[RFC2866]
6,Admin Reset,[RFC2866]
7,Admin Reboot,[RFC2866]
8,Port Error,[RFC2866]
9,NAS Error,[RFC2866]
10,NAS Request,[RFC2866]
11,NAS Reboot,[RFC2866]
12,Port Unneeded,[RFC2866]
13,Port Preempted,[RFC2866]
14,Port Suspended,[RFC2866]
15,Service Unavailable,[RFC2866]
16,Callback,[RFC2866]
17,User Error,[RFC2866]
18,Host Request,[RFC2866]
19,Supplicant Restart,[RFC3580]
20,Reauthentication Failure,[RFC3580]
21,Port Reinitialized,[RFC3580]
22,Port Administratively Disabled,[RFC3580]
23,Lost Power,[Ramprasad_Golla]
