Value,Type,Description,Registrant,Reference
result set truncated due to authorization,notice and remark type,"The list of results does not contain all results
          due to lack of authorization.  This may indicate to some
          clients that proper authorization will yield a longer result
          set.",[IESG],[RFC7483]
result set truncated due to excessive load,notice and remark type,"The list of results does not contain all results
          due to excessively heavy load on the server.  This may
          indicate to some clients that requerying at a later time will
          yield a longer result set.",[IESG],[RFC7483]
result set truncated due to unexplainable reasons,notice and remark type,"The list of results does not contain all results
          for an unexplainable reason.  This may indicate to some
          clients that requerying for any reason will not yield a longer
          result set.",[IESG],[RFC7483]
object truncated due to authorization,notice and remark type,"The object does not contain all data due to lack
          of authorization.",[IESG],[RFC7483]
object truncated due to excessive load,notice and remark type,"The object does not contain all data due to
          excessively heavy load on the server.  This may indicate to
          some clients that requerying at a later time will yield all
          data of the object.",[IESG],[RFC7483]
object truncated due to unexplainable reasons,notice and remark type,"The object does not contain all data for an
          unexplainable reason.",[IESG],[RFC7483]
validated,status,"Signifies that the data of the object instance
           has been found to be accurate.  This type of status is
           usually found on entity object instances to note the validity
           of identifying contact information.",[IESG],[RFC7483]
renew prohibited,status,"Renewal or reregistration of the object instance
           is forbidden.",[IESG],[RFC7483]
update prohibited,status,Updates to the object instance are forbidden.,[IESG],[RFC7483]
transfer prohibited,status,"Transfers of the registration from one registrar
           to another are forbidden.  This type of status normally
           applies to DNR domain names.",[IESG],[RFC7483]
delete prohibited,status,"Deletion of the registration of the object
           instance is forbidden.  This type of status normally applies
           to DNR domain names.",[IESG],[RFC7483]
proxy,status,"The registration of the object instance has been
           performed by a third party.  This is most commonly applied to
           entities.",[IESG],[RFC7483]
private,status,"The information of the object instance is not
           designated for public consumption.  This is most commonly
           applied to entities.",[IESG],[RFC7483]
removed,status,"Some of the information of the object instance
           has not been made available and has been removed.  This is
           most commonly applied to entities.",[IESG],[RFC7483]
obscured,status,"Some of the information of the object instance
           has been altered for the purposes of not readily revealing 
           the actual information of the object instance.  This is most
           commonly applied to entities.",[IESG],[RFC7483]
associated,status,"The object instance is associated with other
           object instances in the registry.  This is most commonly used
           to signify that a nameserver is associated with a domain or
           that an entity is associated with a network resource or
           domain.",[IESG],[RFC7483]
active,status,"The object instance is in use.  For domain
           names, it signifies that the domain name is published in DNS.
           For network and autnum registrations it signifies that they
           are allocated or assigned for use in operational networks.
           This maps to the Extensible Provisioning Protocol (EPP)
           [RFC5730] 'OK' status.",[IESG],[RFC7483]
inactive,status,"The object instance is not in use.  See
           'active'.",[IESG],[RFC7483]
locked,status,"Changes to the object instance cannot be made,
           including the association of other object instances.",[IESG],[RFC7483]
pending create,status,"A request has been received for the creation of
           the object instance but this action is not yet complete.",[IESG],[RFC7483]
pending renew,status,"A request has been received for the renewal of
           the object instance but this action is not yet complete.",[IESG],[RFC7483]
pending transfer,status,"A request has been received for the transfer of
           the object instance but this action is not yet complete.",[IESG],[RFC7483]
pending update,status,"A request has been received for the update or
           modification of the object instance but this action is not
           yet complete.",[IESG],[RFC7483]
pending delete,status,"A request has been received for the deletion or
           removal of the object instance but this action is not yet
           complete.  For domains, this might mean that the name is no
           longer published in DNS but has not yet been purged from the
           registry database.",[IESG],[RFC7483]
add period,status,"This grace period is provided after the initial
        registration of the object.  If the object is deleted by the client
        during this period, the server provides a credit to the client for
        the cost of the registration.  This maps to the Domain Registry Grace
        Period Mapping for the Extensible Provisioning Protocol (EPP)
        [RFC3915] 'addPeriod' status.",[IESG],[RFC8056]
auto renew period,status,"This grace period is provided after an object
        registration period expires and is extended (renewed) automatically
        by the server.  If the object is deleted by the client during this
        period, the server provides a credit to the client for the cost of
        the auto renewal.  This maps to the Domain Registry Grace Period
        Mapping for the Extensible Provisioning Protocol (EPP) [RFC3915] 
        'autoRenewPeriod' status.",[IESG],[RFC8056]
client delete prohibited,status,"The client requested that requests to delete the object
        MUST be rejected.  This maps to the Extensible Provisioning Protocol
        (EPP) Domain Name Mapping [RFC5731], Extensible Provisioning Protocol
        (EPP) Host Mapping [RFC5732], and Extensible Provisioning Protocol
        (EPP) Contact Mapping [RFC5733] 'clientDeleteProhibited' status.",[IESG],[RFC8056]
client hold,status,"The client requested that the DNS delegation information
        MUST NOT be published for the object.  This maps to the Extensible
        Provisioning Protocol (EPP) Domain Name Mapping [RFC5731]
        'clientHold' status.",[IESG],[RFC8056]
client renew prohibited,status,"The client requested that requests to renew the object
        MUST be rejected.  This maps to the Extensible Provisioning Protocol
        (EPP) Domain Name Mapping [RFC5731] 'clientRenewProhibited' status.",[IESG],[RFC8056]
