Layer/Error-Type/Error-Code,Error-Type-Name/Error-Code-Name,Reference
0x0/0x0/ALL,Local Catastrophic Error,[RFC5040]
0x0/0x1/0x00,Remote Protection Error / Invalid Steering Tag,[RFC5040]
0x0/0x1/0x01,Remote Protection Error / Base or bounds violation,[RFC5040]
0x0/0x1/0x02,Remote Protection Error / Access rights violation,[RFC5040]
0x0/0x1/0x03,Remote Protection Error / Steering Tag not associated with RDMAP Stream,[RFC5040]
0x0/0x1/0x04,Remote Protection Error / Tagged Offset wrap,[RFC5040]
0x0/0x1/0x09,Remote Protection Error / Steering Tag cannot be invalidated,[RFC5040]
0x0/0x1/0xff,Remote Protection Error / Unspecified Error,[RFC5040]
0x0/0x2/0x05,Remote Operation Error / Invalid RDMAP version,[RFC5040]
0x0/0x2/0x06,Remote Operation Error / Unexpected OpCode,[RFC5040]
0x0/0x2/0x07,"Remote Operation Error / Catastrophic error, localized to RDMAP Stream",[RFC5040]
0x0/0x2/0x08,"Remote Operation Error / Catastrophic error, global",[RFC5040]
0x0/0x2/0x09,Remote Operation Error / Steering Tag cannot be Invalidated,[RFC5040]
0x0/0x2/0xff,Remote Operation Error / Unspecified Error,[RFC5040]
