Diagnostic Kind,Code,Reference
0x0000,Reserved,[RFC7851]
0x0001,STATUS_INFO,[RFC7851]
0x0002,ROUTING_TABLE_SIZE,[RFC7851]
0x0003,PROCESS_POWER,[RFC7851]
0x0004,UPSTREAM_BANDWIDTH,[RFC7851]
0x0005,DOWNSTREAM_ BANDWIDTH,[RFC7851]
0x0006,SOFTWARE_VERSION,[RFC7851]
0x0007,MACHINE_UPTIME,[RFC7851]
0x0008,APP_UPTIME,[RFC7851]
0x0009,MEMORY_FOOTPRINT,[RFC7851]
0x000a,DATASIZE_STORED,[RFC7851]
0x000b,INSTANCES_STORED,[RFC7851]
0x000c,MESSAGES_SENT_RCVD,[RFC7851]
0x000d,EWMA_BYTES_SENT,[RFC7851]
0x000e,EWMA_BYTES_RCVD,[RFC7851]
0x000f,UNDERLAY_HOP,[RFC7851]
0x0010,BATTERY_STATUS,[RFC7851]
0x0011-0x003e,Unassigned,
0xf000-0xfffe,local use (Reserved),[RFC7851]
0xffff,Reserved,[RFC7851]
