Value,Description,Reference
0,Reserved,[RFC6363]
1,Raptor FEC Scheme for Arbitrary Packet Flows,"[RFC6681], Section 6, using [RFC5053]."
2,RaptorQ FEC Scheme for Arbitrary Packet Flows,"[RFC6681], Section 6, using [RFC6330]."
3,Raptor FEC Scheme Optimised for Arbitrary Packet Flows,"[RFC6681], Section 7, using [RFC5053]."
4,RaptorQ FEC Scheme Optimised for Arbitrary Packet Flows,"[RFC6681], Section 7, using [RFC6330]."
5,Raptor FEC Scheme for a Single Sequence Flow,"[RFC6681], Section 8, using [RFC5053]."
6,RaptorQ FEC Scheme for a Single Sequence Flow,"[RFC6681], Section 8, using [RFC6330]."
7,Simple LDPC-Staircase FEC Scheme for Arbitrary Packet Flows,"[RFC6816, Section 5]"
8,Simple Reed-Solomon FEC Scheme over GF(2^^m) for Arbitrary Packet Flows,[RFC6865]
9,"Sliding Window Random Linear Codes (RLC) over
GF(2) FEC Scheme for Arbitrary Packet Flows","[RFC-ietf-tsvwg-rlc-fec-scheme-16, Section 5]"
10,"Sliding Window Random Linear Codes (RLC) over
GF(2^^8) FEC Scheme for Arbitrary Packet Flows","[RFC-ietf-tsvwg-rlc-fec-scheme-16, Section 4]"
11-254,Unassigned,
255,Reserved,
