Value Name,Value,Reference
NC_NOPROTOFMLY,"""-""",[RFC1833]
NC_LOOPBACK,"""loopback""",[RFC1833]
NC_INET,"""inet""",[RFC1833]
NC_IMPLINK,"""implink""",[RFC1833]
NC_PUP,"""pup""",[RFC1833]
NC_CHAOS,"""chaos""",[RFC1833]
NC_NS,"""ns""",[RFC1833]
NC_NBS,"""nbs""",[RFC1833]
NC_ECMA,"""ecma""",[RFC1833]
NC_DATAKIT,"""datakit""",[RFC1833]
NC_CCITT,"""ccitt""",[RFC1833]
NC_SNA,"""sna""",[RFC1833]
NC_DECNET,"""decnet""",[RFC1833]
NC_DLI,"""dli""",[RFC1833]
NC_LAT,"""lat""",[RFC1833]
NC_HYLINK,"""hylink""",[RFC1833]
NC_APPLETALK,"""appletalk""",[RFC1833]
NC_NIT,"""nit""",[RFC1833]
NC_IEEE802,"""ieee802""",[RFC1833]
NC_OSI,"""osi""",[RFC1833]
NC_X25,"""x25""",[RFC1833]
NC_OSINET,"""osinet""",[RFC1833]
NC_GOSIP,"""gosip""",[RFC1833]
