Protocol Version,PDU Type,Description,Reference
0-2,0,Serial Notify,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,1,Serial Query,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,2,Reset Query,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,3,Cache Response,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,4,IPv4 Prefix,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,5,Unassigned,
0-2,6,IPv6 Prefix,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,7,End of Data,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,8,Cache Reset,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0,9,Reserved,[RFC8210]
1-2,9,Router Key,[RFC8210][RFC-ietf-sidrops-8210bis-10]
0-2,10,Error Report,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
0-1,11,Reserved,[RFC8210][RFC-ietf-sidrops-8210bis-10]
2,11,ASPA,[RFC-ietf-sidrops-8210bis-10]
0-2,12-254,Unassigned,
0-2,255,Reserved,[RFC6810][RFC8210][RFC-ietf-sidrops-8210bis-10]
