Level,KIM Value,Description,Reference
0,0,See Figure 11,[RFC6550]
1,0,See Figure 11,[RFC6550]
2,0,See Figure 11,[RFC6550]
3,0,See Figure 11,[RFC6550]
0,1,See Figure 11,[RFC6550]
1,1,See Figure 11,[RFC6550]
2,1,See Figure 11,[RFC6550]
3,1,See Figure 11,[RFC6550]
0,2,See Figure 11,[RFC6550]
1,2,See Figure 11,[RFC6550]
2,2,See Figure 11,[RFC6550]
3,2,See Figure 11,[RFC6550]
0,3,See Figure 11,[RFC6550]
1,3,See Figure 11,[RFC6550]
2,3,See Figure 11,[RFC6550]
3,3,See Figure 11,[RFC6550]
