Type,Message Name,Reference
0x00,Reserved,[RFC5352]
0x01,ASAP_REGISTRATION,[RFC5352]
0x02,ASAP_DEREGISTRATION,[RFC5352]
0x03,ASAP_REGISTRATION_RESPONSE,[RFC5352]
0x04,ASAP_DEREGISTRATION_RESPONSE,[RFC5352]
0x05,ASAP_HANDLE_RESOLUTION,[RFC5352]
0x06,ASAP_HANDLE_RESOLUTION_RESPONSE,[RFC5352]
0x07,ASAP_ENDPOINT_KEEP_ALIVE,[RFC5352]
0x08,ASAP_ENDPOINT_KEEP_ALIVE_ACK,[RFC5352]
0x09,ASAP_ENDPOINT_UNREACHABLE,[RFC5352]
0x0a,ASAP_SERVER_ANNOUNCE,[RFC5352]
0x0b,ASAP_COOKIE,[RFC5352]
0x0c,ASAP_COOKIE_ECHO,[RFC5352]
0x0d,ASAP_BUSINESS_CARD,[RFC5352]
0x0e,ASAP_ERROR,[RFC5352]
0x0f-0xff,Unassigned,
