Value,Parameter Type,Reference
0x0,Reserved,[RFC5354]
0x1,IPv4 Address,[RFC5354]
0x2,IPv6 Address,[RFC5354]
0x3,DCCP Transport,[RFC5354]
0x4,SCTP Transport,[RFC5354]
0x5,TCP Transport,[RFC5354]
0x6,UDP Transport,[RFC5354]
0x7,UDP-Lite,[RFC5354]
0x8,Pool Member Selection Policy,[RFC5354]
0x9,Pool Handle,[RFC5354]
0xa,Pool Element,[RFC5354]
0xb,Server Information,[RFC5354]
0xc,Operation Error,[RFC5354]
0xd,Cookie,[RFC5354]
0xe,PE Identifier,[RFC5354]
0xf,PE Checksum,[RFC5354]
0x10,Opaque Transport,[RFC5354]
0x11-0xfffffffe,Unassigned,
0xffffffff,IETF-defined extensions,[RFC5354]
