Value,Description,Reference
0,Reserved,[RFC7260]
1,MEP establishment not supported,[RFC7260]
2,MIP establishment not supported,[RFC7260]
3,Unsupported OAM Type,[RFC7260]
4,Configuration Error,[RFC7260]
5,OAM Type Mismatch,[RFC7260]
6,Unsupported OAM Function,[RFC7260]
7,Unsupported OAM Version,[RFC7369]
8,Unsupported MD Level,[RFC7369]
9,Unknown MD Name Format,[RFC7369]
10,Unknown MA Name Format,[RFC7369]
11,Name Length Problem,[RFC7369]
12,Unsupported CC Interval,[RFC7369]
13,Unsupported BFD Version,[RFC7487]
14,Unsupported BFD Encapsulation format,[RFC7487]
15,Unsupported BFD Authentication Type,[RFC7487]
16,Mismatch of BFD Authentication Key ID,[RFC7487]
17,Unsupported Timestamp Format,[RFC7487]
18,Unsupported Delay Mode,[RFC7487]
19,Unsupported Loss Mode,[RFC7487]
20,Delay variation unsupported,[RFC7487]
21,Dyadic mode unsupported,[RFC7487]
22,Loopback mode unsupported,[RFC7487]
23,Combined mode unsupported,[RFC7487]
24,Fault management signaling unsupported,[RFC7487]
25,Unable to create fault management association,[RFC7487]
26,Lock Failure,[RFC7571]
27,Unlock Failure,[RFC7571]
28,Loopback Failure,[RFC7571]
29,Exit Loopback Failure,[RFC7571]
30-32767,Unassigned,
32768-65535,Reserved for Private Use,[RFC7260]
