Value,Description,Reference
1,IPv4 prefix,[RFC3209]
2,IPv6 prefix,[RFC3209]
3,Label,[RFC3473]
4,Unnumbered Interface ID,[RFC3477]
5,4-byte AS number,[RFC-ietf-teas-rsvp-te-domain-subobjects-05][RFC-ietf-pce-pcep-domain-sequence-12]
6,OSPF Area ID,[RFC-ietf-teas-rsvp-te-domain-subobjects-05][RFC-ietf-pce-pcep-domain-sequence-12]
7,IS-IS Area ID,[RFC-ietf-teas-rsvp-te-domain-subobjects-05][RFC-ietf-pce-pcep-domain-sequence-12]
8-31,Unassigned (For explicit resource identification),
32,Autonomous system number,[RFC3209]
33,Explicit Exclusion Route subobject (EXRS),[RFC4874]
34,Unassigned,
35,Hop Attributes,[RFC7570]
36,"SR-ERO (TEMPORARY - registered 2015-08-14, expires 2016-08-14)",[draft-ietf-pce-segment-routing]
37,Reserved,[RFC4873]
38-63,Unassigned,
64,"Path Key with 32-bit PCE  
ID",[RFC5520][RFC5553]
65,"Path Key with 128-bit     
PCE ID",[RFC5520][RFC5553]
