Class Number,Class Name,Reference
0,NULL,[RFC2205]
1,SESSION,[RFC2205]
2,unassigned,
3,RSVP_HOP,[RFC2205]
4,INTEGRITY,[RFC2205]
5,TIME_VALUES,[RFC2205]
6,ERROR_SPEC,[RFC2205]
7,SCOPE,[RFC2205]
8,STYLE,[RFC2205]
9,FLOWSPEC,[RFC2205]
10,FILTER_SPEC,[RFC2205]
11,SENDER_TEMPLATE,[RFC2205]
12,SENDER_TSPEC,[RFC2205]
13,ADSPEC,[RFC2205]
14,POLICY_DATA,[RFC2205]
15,RESV_CONFIRM,[RFC2205]
16,RSVP_LABEL,[RFC3209]
17,HOP_COUNT,[Bruce_Davie]
18,STRICT_SOURCE_ROUTE,[Fred_Baker]
19,LABEL_REQUEST,[RFC3209]
20,EXPLICIT_ROUTE,[RFC3209]
21,"ROUTE_RECORD                          
(also known as RECORD_ROUTE)",[RFC3209]
22,HELLO,[RFC3209]
23,MESSAGE_ID,[RFC2961]
24,MESSAGE_ID_ACK,[RFC2961]
25,MESSAGE_ID_LIST,[RFC2961]
26-29,Unassigned,
30,DIAGNOSTIC,[RFC2745]
31,ROUTE,[RFC2745]
32,DIAG_RESPONSE,[RFC2745]
33,DIAG_SELECT,[RFC2745]
34,RECOVERY_LABEL,[RFC3473]
35,UPSTREAM_LABEL,[RFC3473]
36,LABEL_SET,[RFC3473]
37,PROTECTION,[RFC3473]
38,PRIMARY_PATH_ROUTE,[RFC4872]
39-41,Unassigned,
42,DSBM IP ADDRESS,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
43,SBM_PRIORITY,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
44,DSBM TIMER INTERVALS,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
45,SBM_INFO,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
46-49,Unassigned,
50,S2L_SUB_LSP,[RFC4875]
51-62,Unassigned,
63,DETOUR,[RFC4090]
64,CHALLENGE,[RFC2747]
65,DIFF-SERV,[RFC3270]
66,CLASSTYPE,[RFC4124]
67,LSP_REQUIRED_ATTRIBUTES,[RFC5420]
68-119,Unassigned,
120,UPSTREAM_FLOWSPEC,[RFC6387]
121,UPSTREAM_TSPEC,[RFC6387]
122,UPSTREAM_ADSPEC,[RFC6387]
123-127,Unassigned,
128,NODE_CHAR,[RFC2746]
129,SUGGESTED_LABEL,[RFC3473]
130,ACCEPTABLE_LABEL_SET,[RFC3473]
131,RESTART_CAP,[RFC3473]
132,SESSION-OF-INTEREST,[RFC4860]
133,LINK_CAPABILITY,[RFC4974]
134,Capability Object,[RFC5063]
135-160,Unassigned,
161,RSVP_HOP_L2,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
162,LAN_NHOP_L2,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
163,LAN_NHOP_L3,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
164,LAN_LOOPBACK,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
165,TCLASS,"[Yavatkar, R., et al, ""SBM (Subnet Bandwidth Manager):
Protocol for RSVP-based Admission Control over IEEE
802-style networks"", Internet Draft, November 1997.]"
166-191,Unassigned,
192,SESSION_ASSOC,[RFC2746]
193,LSP_TUNNEL_INTERFACE_ID,[RFC3477]
194,USER_ERROR_SPEC,[RFC5284]
195,NOTIFY_REQUEST,[RFC3473]
196,ADMIN_STATUS,[RFC3473]
197,LSP_ATTRIBUTES,[RFC5420]
198,ALARM_SPEC,[RFC4783]
199,ASSOCIATION,[RFC4872]
200,SECONDARY_EXPLICIT_ROUTE,[RFC4873]
201,SECONDARY_RECORD_ROUTE,[RFC4873]
202,CALL ATTRIBUTES,[RFC6001]
203,REVERSE_LSP,[RFC7551]
204,S2L_SUB_LSP_FRAG,[RFC-ietf-teas-p2mp-loose-path-reopt-09]
205,FAST_REROUTE,[RFC4090]
206,Unassigned,
207,SESSION_ATTRIBUTE,[RFC3209]
208-223,Unassigned,
224,Unassigned,
225,DCLASS,[RFC2996]
226,PACKETCABLE EXTENSIONS,"[Anon, ""PacketCable Dynamic Quality-of-Service
Specification"", PKT-SP-DQOS-O01-991201, date unknown.]"
227,ATM_SERVICECLASS,[RFC3496]
228,CALL_OPS (ASON),[RFC3474]
229,GENERALIZED_UNI,[RFC3476]
230,CALL_ID,[RFC3474]
231,3GPP2_Object,[Kuntal_Chowdury]
232,EXCLUDE_ROUTE,[RFC4874]
233-247,Unassigned,
248,PCN,[RFC7417]
249-251,Unassigned,
252-255,Reserved for Private Use,[RFC3936]
