Value,Type (Elementary Signal),Reference
0,Reserved,[RFC6344]
1,VT1.5  SPE / VC-11,[RFC6344]
2,VT2    SPE / VC-12,[RFC6344]
3,STS-1  SPE / VC-3,[RFC6344]
4,STS-3c SPE / VC-4,[RFC6344]
5-10,Unassigned,
11,"ODU1 (i.e., 2.5 Gbit/s)",[RFC6344]
12,"ODU2 (i.e., 10  Gbit/s)",[RFC6344]
13,"ODU3 (i.e., 40  Gbit/s)",[RFC6344]
14-20,Unassigned,
21,"T1   (i.e., 1.544 Mbps)",[RFC6344]
22,"E1   (i.e., 2.048 Mbps)",[RFC6344]
23,"E3   (i.e., 34.368 Mbps)",[RFC6344]
24,"T3   (i.e., 44.736 Mbps)",[RFC6344]
25-65535,Unassigned,
