Bit No,Name,Attribute Flags Path,Attribute Flags Resv,RRO,ERO,Reference
0,End-to-end re-routing,Yes,No,No,No,[RFC4920][RFC5420][RFC7570]
1,Boundary re-routing,Yes,No,No,No,[RFC4920][RFC5420][RFC7570]
2,Segment-based re-routing,Yes,No,No,No,[RFC4920][RFC5420][RFC7570]
3,LSP Integrity Required,Yes,No,No,No,[RFC4875][RFC7570]
4,Contiguous LSP,Yes,No,Yes,No,[RFC5151][RFC7570]
5,LSP stitching desired,Yes,No,Yes,No,[RFC5150][RFC7570]
6,Pre-Planned LSP Flag,Yes,No,No,No,[RFC6001][RFC7570]
7,Non-PHP behavior flag,Yes,No,Yes,No,[RFC6511][RFC7570]
8,OOB mapping flag,Yes,No,Yes,No,[RFC6511][RFC7570]
9,Entropy Label Capability,Yes,Yes,No,No,[RFC6790][RFC7570]
10,OAM MEP entities desired,Yes,Yes,Yes,No,[RFC7260][RFC7570]
11,OAM MIP entities desired,Yes,Yes,Yes,No,[RFC7260][RFC7570]
12,"SRLG collection Flag (TEMPORARY - registered 2014-09-11, extension 
        registered 2016-08-18, expires 2017-09-11)",Yes,Yes,Yes,No,[draft-ietf-teas-rsvp-te-srlg-collect][RFC7570]
13,Loopback,Yes,No,Yes,Yes,[RFC7571]
