Value,Abbrev.,Name,Reference
0,,Reserved,
1-191,,Unassigned,
192,,Reserved (Historic-FIR),[RFC2032]
193,,Reserved (Historic-NACK),[RFC2032]
194,SMPTETC,SMPTE time-code mapping,[RFC5484]
195,IJ,Extended inter-arrival jitter report,[RFC5450]
196-199,,Unassigned,
200,SR,sender report,[RFC3550]
201,RR,receiver report,[RFC3550]
202,SDES,source description,[RFC3550]
203,BYE,goodbye,[RFC3550]
204,APP,application-defined,[RFC3550]
205,RTPFB,Generic RTP Feedback,[RFC4585]
206,PSFB,Payload-specific,[RFC4585]
207,XR,extended report,[RFC3611]
208,AVB,AVB RTCP packet,"[""Standard for Layer 3 Transport Protocol for Time Sensitive
Applications in Local Area Networks."" Work in progress.]"
209,RSI,Receiver Summary Information,[RFC5760]
210,TOKEN,Port Mapping,[RFC6284]
211,IDMS,IDMS Settings,[RFC7272]
212,RGRS,Reporting Group Reporting Sources,[RFC-ietf-avtcore-rtp-multi-stream-optimisation-12]
213,SNM,Splicing Notification Message,[RFC8286]
214-254,,Unassigned,
255,,Reserved,
