Value,Name,Long Name,Reference
1,Generic NACK,Generic negative acknowledgement,[RFC4585]
2,,Reserved,[RFC5104]
3,TMMBR,Temporary Maximum Media Stream Bit Rate Request,[RFC5104]
4,TMMBN,Temporary Maximum Media Stream Bit Rate Notification,[RFC5104]
5,RTCP-SR-REQ,RTCP Rapid Resynchronisation Request,[RFC6051]
6,RAMS,Rapid Acquisition of Multicast Sessions,[RFC6285]
7,TLLEI,Transport-Layer Third-Party Loss Early Indication,[RFC6642]
8,RTCP-ECN-FB,RTCP ECN Feedback,[RFC6679]
9,PAUSE-RESUME,Media Pause/Resume,[RFC7728]
10,DBI,Delay Budget Information (DBI),[3GPP TS 26.114 v16.3.0][Ozgur_Oyman]
11,CCFB,RTP Congestion Control Feedback,[RFC8888]
12-30,,Unassigned,
31,Extension,Reserved for future extensions,[RFC4585]
