Header Name,Reference
3GPP-Adaptation,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
3GPP-Freshness-Token,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
3GPP-Link-Char,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
3GPP-QoE-Feedback,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
3GPP-QoE-Metrics,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
3gpp-videopostdecbufsize,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
Accept,[RFC2326]
Accept-Encoding,[RFC2326]
Accept-Language,[RFC2326]
Allow,[RFC2326]
Authorization,[RFC2326]
Bandwidth,[RFC2326]
Blocksize,[RFC2326]
Cache-Control,[RFC2326]
Conference,[RFC2326]
Connection,[RFC2326]
Content-Base,[RFC2326]
Content-Encoding,[RFC2326]
Content-Encoding,[RFC2326]
Content-Language,[RFC2326]
Content-Length,[RFC2326]
Content-Length,[RFC2326]
Content-Location,[RFC2326]
Content-Type,[RFC2326]
Content-Type,[RFC2326]
CSeq,[RFC2326]
Date,[RFC2326]
Expires,[RFC2326]
From,[RFC2326]
If-Modified-Since,[RFC2326]
keymgmt [1],[RFC4567]
Last-Modified,[RFC2326]
Pipelined-Requests,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
Proxy-Authenticate,[RFC2326]
Proxy-Require,[RFC2326]
Public,[RFC2326]
Range,[RFC2326]
Range,[RFC2326]
Referer,[RFC2326]
Require,[RFC2326]
Retry-After,[RFC2326]
RTP-Info,[RFC2326]
Scale,[RFC2326]
SDP-Requested,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
Session,[RFC2326]
Server,[RFC2326]
Speed,[RFC2326]
Supported,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
Switch-Stream,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
Transport,[RFC2326]
Unsupported,[RFC2326]
User-Agent,[RFC2326]
Via,[RFC2326]
WWW-Authenticate,[RFC2326]
x-initpostdecbufperiod,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
x-initpredecbufperiod,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
x-predecbufsize,[3GPP TS 26.234][http://www.3gpp.org/ftp/specs/html-info/26234.htm][RFC6064]
