Status Code,Description,Reference
100,Continue,[RFC7826]
150,Server still working on ICE connectivity checks,[RFC7825]
200,OK,[RFC7826]
301,Moved Permanently,[RFC7826]
302,Found,[RFC7826]
303,See Other,[RFC7826]
304,Not Modified,[RFC7826]
305,Use Proxy,[RFC7826]
400,Bad Request,[RFC7826]
401,Unauthorized,[RFC7826]
402,Payment Required,[RFC7826]
403,Forbidden,[RFC7826]
404,Not Found,[RFC7826]
405,Method Not Allowed,[RFC7826]
406,Not Acceptable,[RFC7826]
407,Proxy Authentication Required,[RFC7826]
408,Request Time-Out,[RFC7826]
410,Gone,[RFC7826]
412,Precondition Failed,[RFC7826]
413,Request Message Body Too Large,[RFC7826]
414,Request-URI Too Large,[RFC7826]
415,Unsupported Media Type,[RFC7826]
451,Parameter Not Understood,[RFC7826]
452,Reserved,[RFC7826]
453,Not Enough Bandwidth,[RFC7826]
454,Session Not Found,[RFC7826]
455,Method Not Valid in This State,[RFC7826]
456,Header Field Not Valid for Resource,[RFC7826]
457,Invalid Range,[RFC7826]
458,Parameter Is Read-Only,[RFC7826]
459,Aggregate operation not allowed,[RFC7826]
460,Only aggregate operation allowed,[RFC7826]
461,Unsupported Transport,[RFC7826]
462,Destination Unreachable,[RFC7826]
463,Destination Prohibited,[RFC7826]
464,Data Transport Not Ready Yet,[RFC7826]
465,Notification Reason Unknown,[RFC7826]
466,Key Management Error,[RFC7826]
470,Connection Authorization Required,[RFC7826]
471,Connection Credentials not accepted,[RFC7826]
472,Failure to establish secure connection,[RFC7826]
480,ICE Connectivity check failure,[RFC7825]
500,Internal Server Error,[RFC7826]
501,Not Implemented,[RFC7826]
502,Bad Gateway,[RFC7826]
503,Service Unavailable,[RFC7826]
504,Gateway Time-out,[RFC7826]
505,RTSP Version not supported,[RFC7826]
551,Option not supported,[RFC7826]
