ID Value,Chunk Type,Reference
0,Payload Data (DATA),[RFC9260]
1,Initiation (INIT),[RFC9260]
2,Initiation Acknowledgement (INIT ACK),[RFC9260]
3,Selective Acknowledgement (SACK),[RFC9260]
4,Heartbeat Request (HEARTBEAT),[RFC9260]
5,Heartbeat Acknowledgement (HEARTBEAT ACK),[RFC9260]
6,Abort (ABORT),[RFC9260]
7,Shutdown (SHUTDOWN),[RFC9260]
8,Shutdown Acknowledgement (SHUTDOWN ACK),[RFC9260]
9,Operation Error (ERROR),[RFC9260]
10,State Cookie (COOKIE ECHO),[RFC9260]
11,Cookie Acknowledgement (COOKIE ACK),[RFC9260]
12,Reserved for Explicit Congestion Notification Echo (ECNE),[RFC9260]
13,Reserved for Congestion Window Reduced (CWR),[RFC9260]
14,Shutdown Complete (SHUTDOWN COMPLETE),[RFC9260]
15,Authentication Chunk (AUTH),[RFC4895]
16-62,Unassigned,
63,Reserved for IETF-defined Chunk Extensions,[RFC9260]
64,Payload Data supporting Interleaving (I-DATA),[RFC8260]
65-126,Unassigned,
127,Reserved for IETF-defined Chunk Extensions,[RFC9260]
128,Address Configuration Acknowledgment (ASCONF-ACK),[RFC5061]
129,Unassigned,
130,Re-configuration Chunk (RE-CONFIG),[RFC6525]
131,Unassigned,
132,Padding Chunk (PAD),[RFC4820]
133-190,Unassigned,
191,Reserved for IETF-defined Chunk Extensions,[RFC9260]
192,Forward TSN,[RFC3758]
193,Address Configuration Change Chunk (ASCONF),[RFC5061]
194,I-FORWARD-TSN,[RFC8260]
195-254,Unassigned,
255,Reserved for IETF-defined Chunk Extensions,[RFC9260]
