Type,SDP Name,Usage Level,Mux Category,Reference
attribute,3ge2ae,media,IDENTICAL,[3GPP TS 24.229 12.14.0][Frederic_Firmin]
attribute,3gpp_MaxRecvSDUSize,"session, media",NORMAL,[3GPP TS 26.114 v16.3.0][_3GPP_Specifications_Manager]
attribute,3gpp_mtsi_app_adapt,media,IDENTICAL-PER-PT,[3GPP TS 26.114 v16.3.0][Ozgur_Oyman]
attribute,3gpp_sync_info,"session, media",NORMAL,[3GPP TS 26.114 v16.3.0][_3GPP_Specifications_Manager]
attribute,3GPP-Adaptation-Support,media,CAUTION,[RFC6064][RFC8859]
attribute,3GPP-Asset-Information,"session, media",CAUTION,[RFC6064][RFC8859]
attribute,3GPP-Integrity-Key,session,CAUTION,[RFC6064][RFC8859]
attribute,3GPP-QoE-Metrics,"session, media",CAUTION,[RFC6064][RFC8859]
attribute,3GPP-SDP-Auth,session,CAUTION,[RFC6064][RFC8859]
attribute,3GPP-SRTP-Config,media,CAUTION,[RFC6064][RFC8859]
attribute,3gpp-videopostdecbufsize,media,CAUTION,[RFC6064][RFC8859]
attribute,3gpp.iut.replication,"session, media",TBD,[3GPP TS 24.337 10.7.0][Frederic_Firmin][RFC8859]
attribute,aal2CPS,media,CAUTION,[RFC3108][RFC8859]
attribute,aal2CPSSDUrate,media,CAUTION,[RFC3108][RFC8859]
attribute,aal2sscs3661assured,media,CAUTION,[RFC3108][RFC8859]
attribute,aal2sscs3661unassured,media,CAUTION,[RFC3108][RFC8859]
attribute,aal2sscs3662,media,CAUTION,[RFC3108][RFC8859]
attribute,aal5sscop,media,CAUTION,[RFC3108][RFC8859]
attribute,aalApp,media,CAUTION,[RFC3108][RFC8859]
attribute,aalType,media,CAUTION,[RFC3108][RFC8859]
attribute,abrParms,media,CAUTION,[RFC3108][RFC8859]
attribute,abrSetup,media,CAUTION,[RFC3108][RFC8859]
attribute,acap,"session, media",INHERIT,[RFC5939][RFC8859]
attribute,accept-types,"media, dcsa (msrp)",TBD,[RFC4975][RFC8859][RFC8873]
attribute,accept-wrapped-types,"media, dcsa (msrp)",TBD,[RFC4975][RFC8859][RFC8873]
attribute,acfg,media,SPECIAL,[RFC5939][RFC8859]
attribute,alt,media,CAUTION,[RFC6064][RFC8859]
attribute,alt-default-id,media,CAUTION,[RFC6064][RFC8859]
attribute,alt-group,session,CAUTION,[RFC6064][RFC8859]
attribute,altc,media,TRANSPORT,[RFC6947][RFC8859]
attribute,anbr,media,IDENTICAL,[3GPP TS 26.114 v16.3.0][Ozgur_Oyman]
attribute,anycast,media,CAUTION,[RFC3108][RFC8859]
attribute,atmmap,media,CAUTION,[RFC3108][RFC8859]
attribute,atmQOSparms,media,CAUTION,[RFC3108][RFC8859]
attribute,atmTrfcDesc,media,CAUTION,[RFC3108][RFC8859]
attribute,bc_program,session,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC8859]"
attribute,bc_service,session,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC8859]"
attribute,bc_service_package,session,NORMAL,"[Sonia_Compans][TS 183 063 R3 ETSI TISPAN Technical Specification TS 183 063
""Telecommunications and Internet converged Services and Protocols for
Advanced Networking (TISPAN); IMS-based IPTV stage 3 specification""][RFC8859]"
attribute,bcap,"session, media",INHERIT,[RFC7006][RFC8859]
attribute,bcastversion,session,NORMAL,[RFC5159][RFC8859]
attribute,bcob,media,CAUTION,[RFC3108][RFC8859]
attribute,bearerSigIE,media,CAUTION,[RFC3108][RFC8859]
attribute,bearerType,media,CAUTION,[RFC3108][RFC8859]
attribute,bfcpver,media,TBD,[RFC8856]
attribute,bundle-only,media,NORMAL,[RFC8843]
attribute,bw-info,media,IDENTICAL-PER-PT,[3GPP TS 26.114 v16.3.0][Ozgur_Oyman]
attribute,cache,media,CAUTION,[RFC3108][RFC8859]
attribute,calgextmap,"session, media",NORMAL,[RFC7266][RFC8859]
attribute,candidate,media,TRANSPORT,[RFC8839][RFC8859]
attribute,capability,media,CAUTION,[RFC3108][RFC8859]
attribute,cat,session,NORMAL,[RFC8866][RFC8859]
attribute,cbrRate,media,CAUTION,[RFC3108][RFC8859]
attribute,ccap,"session, media",IDENTICAL,[RFC7006][RFC8859]
attribute,ccc_list,session,NORMAL,[3GPP TS 26.114 v16.3.0][_3GPP_Specifications_Manager]
attribute,cdsc,"session, media",NORMAL,[RFC3407][RFC8859]
attribute,cfw-id,media,NORMAL,[RFC6230][RFC8859]
attribute,chain,media,CAUTION,[RFC3108][RFC8859]
attribute,channel,media,NORMAL,[RFC6787][RFC8859]
attribute,charset,session,NORMAL,[RFC8866][RFC8859]
attribute,charset:iso8895-1,session,NORMAL,[RFC8866][RFC8859]
attribute,chatroom,media,TBD,[RFC7701][RFC8859]
attribute,clir,"session, media",TBD,[RFC2848][RFC8859]
attribute,clkrec,media,CAUTION,[RFC3108][RFC8859]
attribute,cmid,media,NORMAL,[RFC6787][RFC8859]
attribute,cname,source,NORMAL,[RFC5576][RFC8859]
attribute,codecconfig,media,CAUTION,[RFC3108][RFC8859]
attribute,conf,media,CAUTION,[RFC3312][RFC8859]
attribute,confid,media,TBD,[RFC8856][RFC8859]
attribute,connection,"session, media",TRANSPORT,[RFC4145][RFC8859]
attribute,content,media,NORMAL,[RFC4796][RFC8859]
attribute,content-desc,"session, media",TBD,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,control,"session, media",CAUTION,[RFC2326][RFC7826][RFC8859]
attribute,cpar,"session, media",INHERIT,[RFC3407][RFC8859]
attribute,cparmax,"session, media",SPECIAL,[RFC3407][RFC8859]
attribute,cparmin,"session, media",SPECIAL,[RFC3407][RFC8859]
attribute,cpsSDUsize,media,CAUTION,[RFC3108][RFC8859]
attribute,creq,"session, media",NORMAL,[RFC5939][RFC8859]
attribute,crypto,media,TRANSPORT,[RFC4568][RFC8859]
attribute,cs-correlation,media,TBD,[RFC7195][RFC8859]
attribute,csup,"session, media",NORMAL,[RFC5939][RFC8859]
attribute,curr,media,CAUTION,[RFC3312][RFC8859]
attribute,dccp-port,media,CAUTION,[RFC6773][RFC8859]
attribute,dccp-service-code,media,CAUTION,[RFC5762][RFC8859]
attribute,dcmap,media,SPECIAL,[RFC8864]
attribute,dcsa,media,SPECIAL,[RFC8864]
attribute,depend,media,IDENTICAL-PER-PT,[RFC5583][RFC8859]
attribute,des,media,CAUTION,[RFC3312][RFC8859]
attribute,dsel,media,CAUTION,[RFC3108][RFC8859]
attribute,duplication-delay,"session, media",NORMAL,[RFC7197][RFC8859]
attribute,ebuacip,media,TBD,[EBU Tech 3368 - Audio Contribution over IP – Profiles][Felix_Poulin][RFC8859]
attribute,ecan,media,CAUTION,[RFC3108][RFC8859]
attribute,ecn-capable-rtp,media,IDENTICAL,[RFC6679][RFC8859]
attribute,eecid,media,CAUTION,[RFC3108][RFC8859]
attribute,end-of-candidates,"session, media",IDENTICAL,[RFC8840]
attribute,etag,"session, media",CAUTION,[RFC2326][RFC8859]
attribute,extmap,"session, media",SPECIAL,[RFC8285][RFC8859]
attribute,extmap-allow-mixed,"session, media",IDENTICAL,[RFC8285]
attribute,fec,media,CAUTION,[RFC3108][RFC8859]
attribute,FEC,media,NORMAL,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,FEC-declaration,"session, media",TBD,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,FEC-OTI-extension,"session, media",TBD,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,fec-repair-flow,media,SPECIAL,[RFC6364][RFC8859]
attribute,fec-source-flow,media,SPECIAL,[RFC6364][RFC8859]
attribute,file-date,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,file-disposition,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,file-icon,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,file-range,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,file-selector,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,file-transfer-id,"media, dcsa (msrp)",TBD,[RFC5547][RFC8859][RFC8873]
attribute,fingerprint,"session, media",TRANSPORT,[RFC8122][RFC8859]
attribute,floorctrl,media,TBD,[RFC8856][RFC8859]
attribute,floorid,media,TBD,[RFC8856][RFC8859]
attribute,flute-ch,"session, media",TBD,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,flute-tsi,"session, media",TBD,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
attribute,fmtp,"media, source, dcsa (t140)",IDENTICAL-PER-PT,[RFC5576][RFC8866][RFC8859][RFC8865]
attribute,framerate,media,IDENTICAL-PER-PT,[RFC8866][RFC8859]
attribute,framesize,media,CAUTION,[RFC6064][RFC8859]
attribute,fsel,media,CAUTION,[RFC3108][RFC8859]
attribute,gc,media,CAUTION,[RFC3108][RFC8859]
attribute,gpmd,media,TBD,[ITU-T Rec. V.150.1][ITU-T Rec. V.152][Simao_Campos-Neto]
attribute,group,session,NORMAL,[RFC5888][RFC8859]
attribute,h248item,"session, media",SPECIAL,[ITU-T H.248.15][RFC8859]
attribute,hlang-recv,"media, dcsa (t140)",NORMAL,[RFC8373][RFC8865]
attribute,hlang-send,"media, dcsa (t140)",NORMAL,[RFC8373][RFC8865]
attribute,icap,"session, media",NORMAL,[RFC7006][RFC8859]
attribute,ice-lite,session,NORMAL,[RFC8839][RFC8859]
attribute,ice-mismatch,media,NORMAL,[RFC8839][RFC8859]
attribute,ice-options,session,NORMAL,[RFC8839][RFC8859]
attribute,ice-pacing,session,NORMAL,[RFC8839]
attribute,ice-pwd,"session, media",TRANSPORT,[RFC8839][RFC8859]
attribute,ice-ufrag,"session, media",TRANSPORT,[RFC8839][RFC8859]
attribute,identity,session,NORMAL,[RFC8827]
attribute,ike-setup,"session, media",IDENTICAL,[RFC6193][RFC8859]
attribute,imageattr,media,IDENTICAL-PER-PT,[RFC6236][RFC8859]
attribute,inactive,"session, media, dcsa (t140), dcsa (msrp)",NORMAL,[RFC8866][RFC8859][RFC8865][RFC8873]
attribute,ipbcp,session,SPECIAL,"[ITU-T Recommendation Q.1970, ""BICC IP bearer control
protocol"" (07/2001)][RFC8859]"
