Semantics,Token,Mux Category,Reference
Lip Synchronization,LS,NORMAL,[RFC5888][RFC8859]
Flow Identification,FID,NORMAL,[RFC5888][RFC8859]
Single Reservation flow,SRF,NORMAL,[RFC3524][RFC8859]
Alternative Network Address Types,ANAT,CAUTION,[RFC4091][RFC8859]
Forward Error Correction (Deprecated),FEC,NORMAL,[RFC5956][RFC8859]
Forward Error Correction FR,FEC-FR,NORMAL,[RFC5956][RFC8859]
Composite Session,CS,NORMAL,[RFC-mehta-rmt-flute-sdp-05][RFC8859]
Decoding Dependency,DDP,NORMAL,[RFC5583][RFC8859]
Duplication,DUP,NORMAL,[RFC7104][RFC8859]
Splice,SPLICE,TBD,[RFC8286][RFC8859]
Media bundling,BUNDLE,NORMAL,[RFC9143]
"CLUE-controlled ""m="" line",CLUE,NORMAL,[RFC8848]
