Type,SDP Name,Mux Category,Reference
att-field (media level only),ptime,IDENTICAL-PER-PT,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),orient,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),orient:portrait,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),orient:landscape,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),orient:seascape,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),framerate,IDENTICAL-PER-PT,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),quality,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtpmap,IDENTICAL-PER-PT,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),fmtp,IDENTICAL-PER-PT,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtpred1,CAUTION,[2][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtpred2,CAUTION,[2][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),T38FaxVersion,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38MaxBitRate,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxFillBitRemoval,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxTranscodingMMR,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxTranscodingJBIG,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxRateManagement,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxMaxBuffer,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxMaxDatagram,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),T38FaxUdpEC,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures', September 2010][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),maxptime,IDENTICAL-PER-PT,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),des,CAUTION,[RFC3312][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),curr,CAUTION,[RFC3312][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),conf,CAUTION,[RFC3312][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),mid,NORMAL,[RFC5888][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp,TRANSPORT,[RFC3605][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp-fb,IDENTICAL-PER-PT,[RFC4585][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),label,NORMAL,[RFC4574][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),T38VendorInfo,TBD,"[ITU-T Recommendation T.38 Amendment 2 Annex D, 'SIP/SDP Call Establishment Procedures',
        February 2000, July 2005.][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (media level only),crypto,TRANSPORT,[RFC4568][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),eecid,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),aalType,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),capability,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),qosClass,CAUTION,[RFC3108][RFC-ietf-mmusic-sdp-mux-attributes-16]
