Secondary Unit,Description,SenML Unit,Scale,Offset,Reference
ms,millisecond,s,1/1000,0,[RFC8798]
min,minute,s,60,0,[RFC8798]
h,hour,s,3600,0,[RFC8798]
MHz,megahertz,Hz,1000000,0,[RFC8798]
kW,kilowatt,W,1000,0,[RFC8798]
kVA,kilovolt-ampere,VA,1000,0,[RFC8798]
kvar,kilovar,var,1000,0,[RFC8798]
Ah,ampere-hour,C,3600,0,[RFC8798]
Wh,watt-hour,J,3600,0,[RFC8798]
kWh,kilowatt-hour,J,3600000,0,[RFC8798]
varh,var-hour,vars,3600,0,[RFC8798]
kvarh,kilovar-hour,vars,3600000,0,[RFC8798]
kVAh,kilovolt-ampere-hour,VAs,3600000,0,[RFC8798]
Wh/km,watt-hour per kilometer,J/m,3.6,0,[RFC8798]
KiB,kibibyte,B,1024,0,[RFC8798]
GB,gigabyte,B,1e9,0,[RFC8798]
Mbit/s,megabit per second,bit/s,1000000,0,[RFC8798]
B/s,byte per second,bit/s,8,0,[RFC8798]
MB/s,megabyte per second,bit/s,8000000,0,[RFC8798]
mV,millivolt,V,1/1000,0,[RFC8798]
mA,milliampere,A,1/1000,0,[RFC8798]
dBm,decibel (milliwatt),dBW,1,-30,[RFC8798]
ug/m3,microgram per cubic meter,kg/m3,1e-9,0,[RFC8798]
mm/h,millimeter per hour,m/s,1/3600000,0,[RFC8798]
m/h,meter per hour,m/s,1/3600,0,[RFC8798]
ppm,parts per million,/,1e-6,0,[RFC8798]
/100,percent[3],/,1/100,0,[RFC8798]
/1000,permille,/,1/1000,0,[RFC8798]
hPa,hectopascal,Pa,100,0,[RFC8798]
mm,millimeter,m,1/1000,0,[RFC8798]
cm,centimeter,m,1/100,0,[RFC8798]
km,kilometer,m,1000,0,[RFC8798]
km/h,kilometer per hour,m/s,1/3.6,0,[RFC8798]
ppb,parts per billion,/,1e-9,0,[CoRE-1]
ppt,parts per trillion,/,1e-12,0,[CoRE-1]
VAh,volt-ampere-hour,VAs,3600,0,[CoRE-1]
mg/l,milligram per liter,kg/m3,1/1000,0,[CoRE-1]
ug/l,microgram per liter,kg/m3,1e-6,0,[CoRE-1]
g/l,gram per liter,kg/m3,1,0,[CoRE-1]
