Number,Description,References,Note
0,Reserved,,
1,RSA/MD5,[RFC2537][RFC1321],"deprecated, see 5"
2,Diffie-Hellman,[RFC2539],
3,DSA/SHA1,"[RFC2536][Federal Information Processing Standards Publication
(FIPS PUB) 186, Digital Signature Standard, 18 May 1994.][Federal Information Processing Standards Publication
(FIPS PUB) 180-1, Secure Hash Standard, 17 April 1995.
(Supersedes FIPS PUB 180 dated 11 May 1993.)]",
4,Reserved for Elliptic Curve Crypto,,
5,RSA/SHA-1,[RFC3110],
6-251,Unassigned,,
252,Reserved for indirect keys,[RFC2535],
253,Private algorithms - domain name,[RFC2535],
254,Private algorithms - OID,[RFC2535],
255,Reserved,,
