Value,Description,Reference
1,Data Request Message,[RFC3807]
2,Data Indication Message,[RFC3807]
3,Unit Data Request Message,[RFC3807]
4,Unit Data Indication Message,[RFC3807]
5,Establish Request,[RFC3807]
6,Establish Confirm,[RFC3807]
7,Establish Indication,[RFC3807]
8,Release Request,[RFC3807]
9,Release Confirm,[RFC3807]
10,Release Indication,[RFC3807]
11,Link Status Start Reporting,[RFC3807]
12,Link Status Stop Reporting,[RFC3807]
13,Link Status Indication,[RFC3807]
14,Sa-Bit Set Request,[RFC3807]
15,Sa-Bit Set Confirm,[RFC3807]
16,Sa-Bit Status Request,[RFC3807]
17,Sa-Bit Status Indication,[RFC3807]
18,Error Indication,[RFC3807]
