Header Field,Parameter Name,Predefined Values,Reference
Accept,q,No,[RFC3261]
Accept-Encoding,q,No,[RFC3261]
Accept-Language,q,No,[RFC3261]
Alert-Info,appearance,No,[RFC7463]
AlertMsg-Error,code,no,[RFC8876]
Answer-Mode,require,No,[RFC5373]
Authorization,algorithm,Yes,[RFC3261][RFC3310]
Authorization,auts,No,[RFC3310]
Authorization,cnonce,No,[RFC3261]
Authorization,nc,No,[RFC3261]
Authorization,nonce,No,[RFC3261]
Authorization,opaque,No,[RFC3261]
Authorization,qop,Yes,[RFC3261]
Authorization,realm,No,[RFC3261]
Authorization,response,No,[RFC3261]
Authorization,uri,No,[RFC3261]
Authorization,username,No,[RFC3261]
Authentication-Info,cnonce,No,[RFC3261]
Authentication-Info,nc,No,[RFC3261]
Authentication-Info,nextnonce,No,[RFC3261]
Authentication-Info,qop,Yes,[RFC3261]
Authentication-Info,rspauth,No,[RFC3261]
Call-Info,m,Yes,[RFC6910]
Call-Info,purpose,Yes,[RFC3261][RFC5367][RFC6910][RFC6993][RFC7082][RFC7852][RFC8688][RFC9248]
Contact,expires,No,[RFC3261]
Contact,mp,No,[RFC7044]
Contact,np,No,[RFC7044]
Contact,pub-gruu,No,[RFC5627]
Contact,q,No,[RFC3261]
Contact,rc,No,[RFC7044]
Contact,reg-id,No,[RFC5626]
Contact,temp-gruu,No,[RFC5627]
Contact,temp-gruu-cookie,No,[RFC6140]
Content-Disposition,handling,Yes,[RFC3204][RFC3261][RFC3459][RFC5621]
Event,adaptive-min-rate,No,[RFC6446]
Event,body,Yes,[RFC5989]
Event,call-id,No,[RFC4235]
Event,effective-by,No,[RFC6080]
Event,from-tag,No,[RFC4235]
Event,id,No,[RFC6665]
Event,include-session-description,No,[RFC4235]
Event,max-rate,No,[RFC6446]
Event,min-rate,No,[RFC6446]
Event,model,No,[RFC6080]
Event,profile-type,Yes,[RFC6080]
Event,shared,No,[RFC7463]
Event,to-tag,No,[RFC4235]
Event,vendor,No,[RFC6080]
Event,version,No,[RFC6080]
Feature-Caps,fcap-name [7],No,[RFC6809]
From,tag,No,[RFC3261]
Geolocation,loc-src,No,[RFC8787]
Geolocation-Error,code,Yes,[RFC6442]
History-Info,mp,No,[RFC7044]
History-Info,np,No,[RFC7044]
History-Info,rc,No,[RFC7044]
P-Access-Network-Info,cgi-3gpp,No,[RFC7315]
P-Access-Network-Info,ci-3gpp2,No,[RFC7315]
P-Access-Network-Info,ci-3gpp2-femto,No,[RFC7315]
P-Access-Network-Info,dsl-location,No,[RFC7315]
P-Access-Network-Info,dvb-rcs2-node-id,No,[RFC7315]
P-Access-Network-Info,eth-location,No,[RFC7315]
P-Access-Network-Info,fiber-location,No,[RFC7315]
P-Access-Network-Info,gstn-location,No,[RFC7315]
P-Access-Network-Info,i-wlan-node-id,No,[RFC7315]
P-Access-Network-Info,local-time-zone,No,[RFC7315]
P-Access-Network-Info,operator-specific-GI,No,[RFC7315]
P-Access-Network-Info,utran-cell-id-3gpp,No,[RFC7315]
P-Access-Network-Info,utran-sai-3gpp,No,[RFC7315]
P-Charging-Function-Addresses,ccf,No,[RFC7315]
P-Charging-Function-Addresses,ccf-2,No,[RFC7315]
P-Charging-Function-Addresses,ecf,No,[RFC7315]
P-Charging-Function-Addresses,ecf-2,No,[RFC7315]
P-Charging-Vector,icid-value,No,[RFC7315]
P-Charging-Vector,icid-generated-at,No,[RFC7315]
P-Charging-Vector,orig-ioi,No,[RFC7315]
P-Charging-Vector,related-icid,No,[RFC7315]
P-Charging-Vector,related-icid-generated-at,No,[RFC7315]
P-Charging-Vector,term-ioi,No,[RFC7315]
P-Charging-Vector,transit-ioi,No,[RFC7315]
P-DCS-Billing-Info,called,No,[RFC5503]
P-DCS-Billing-Info,calling,No,[RFC5503]
P-DCS-Billing-Info,charge,No,[RFC5503]
P-DCS-Billing-Info,jip,No,[RFC5503]
P-DCS-Billing-Info,locroute,No,[RFC5503]
P-DCS-Billing-Info,rksgroup,No,[RFC5503]
P-DCS-Billing-Info,routing,No,[RFC5503]
P-DCS-LAES,bcid,No,[RFC5503]
P-DCS-LAES,cccid,No,[RFC5503]
P-DCS-LAES,content,No,[RFC5503]
P-DCS-LAES,key (OBSOLETED),No,[RFC3603][RFC5503]
P-DCS-Redirect,count,No,[RFC5503]
P-DCS-Redirect,redirector-uri,No,[RFC5503]
P-DCS-Trace-Party-ID,timestamp,No,[RFC5503]
P-Refused-URI-List,members,No,[RFC5318]
P-Served-User,sescase,Yes,[RFC5502]
P-Served-User,regstate,Yes,[RFC5502]
P-Served-User,orig-cdiv,No,[RFC8498]
Policy-Contact,non-cacheable,Yes,[RFC6794]
Priv-Answer-Mode,require,No,[RFC5373]
Proxy-Authenticate,algorithm,Yes,[RFC3261][RFC3310]
Proxy-Authenticate,authz_server,No,[RFC8898]
Proxy-Authenticate,domain,No,[RFC3261]
Proxy-Authenticate,error,No,[RFC8898]
Proxy-Authenticate,nonce,No,[RFC3261]
Proxy-Authenticate,opaque,No,[RFC3261]
Proxy-Authenticate,qop,Yes,[RFC3261]
Proxy-Authenticate,realm,No,[RFC3261]
Proxy-Authenticate,scope,No,[RFC8898]
Proxy-Authenticate,stale,Yes,[RFC3261]
Proxy-Authorization,algorithm,Yes,[RFC3261][RFC3310]
Proxy-Authorization,auts,No,[RFC3310]
Proxy-Authorization,cnonce,No,[RFC3261]
Proxy-Authorization,nc,No,[RFC3261]
Proxy-Authorization,nonce,No,[RFC3261]
Proxy-Authorization,opaque,No,[RFC3261]
Proxy-Authorization,qop,Yes,[RFC3261]
Proxy-Authorization,realm,No,[RFC3261]
Proxy-Authorization,response,No,[RFC3261]
Proxy-Authorization,uri,No,[RFC3261]
Proxy-Authorization,username,No,[RFC3261]
Reason,cause,Yes,[RFC3326]
Reason,location,Yes,[RFC8606]
Reason,ppi,No,[RFC-ietf-stir-identity-header-errors-handling-08]
Reason,text,No,[RFC3326]
Retry-After,duration,No,[RFC3261]
Security-Client,alg,Yes,[RFC3329]
Security-Client,ealg,Yes,[RFC3329]
Security-Client,d-alg,Yes,[RFC3329]
Security-Client,d-qop,Yes,[RFC3329]
Security-Client,d-ver,No,[RFC3329]
Security-Client,mod,Yes,[RFC3329]
Security-Client,port1,No,[RFC3329]
Security-Client,port2,No,[RFC3329]
Security-Client,prot,Yes,[RFC3329]
Security-Client,q,No,[RFC3329]
Security-Client,spi,No,[RFC3329]
Security-Server,alg,Yes,[RFC3329]
Security-Server,ealg,Yes,[RFC3329]
Security-Server,d-alg,Yes,[RFC3329]
Security-Server,d-qop,Yes,[RFC3329]
Security-Server,d-ver,No,[RFC3329]
Security-Server,mod,Yes,[RFC3329]
Security-Server,port1,No,[RFC3329]
Security-Server,port2,No,[RFC3329]
Security-Server,prot,Yes,[RFC3329]
Security-Server,q,No,[RFC3329]
Security-Server,spi,No,[RFC3329]
Security-Verify,alg,Yes,[RFC3329]
Security-Verify,ealg,Yes,[RFC3329]
Security-Verify,d-alg,Yes,[RFC3329]
Security-Verify,d-qop,Yes,[RFC3329]
Security-Verify,d-ver,No,[RFC3329]
Security-Verify,mod,Yes,[RFC3329]
Security-Verify,port1,No,[RFC3329]
Security-Verify,port2,No,[RFC3329]
Security-Verify,prot,Yes,[RFC3329]
Security-Verify,q,No,[RFC3329]
Security-Verify,spi,No,[RFC3329]
Session-ID,logme,No (no values are allowed),[RFC8497]
Session-ID,remote,No,[RFC7989]
Subscription-State,adaptive-min-rate,No,[RFC6446]
Subscription-State,expires,No,[RFC6665]
Subscription-State,max-rate,No,[RFC6446]
Subscription-State,min-rate,No,[RFC6446]
Subscription-State,reason,Yes,[RFC6665]
Subscription-State,retry-after,No,[RFC6665]
Target-Dialog,local-tag,No,[RFC4538]
Target-Dialog,remote-tag,No,[RFC4538]
To,tag,No,[RFC3261]
Trigger-Consent,target-uri,No,[RFC5360]
User-to-User,content,No,[RFC7433]
User-to-User,encoding,Yes,[RFC7433]
User-to-User,purpose,No,[RFC7433]
Via,alias,No,[RFC5923]
Via,branch,No,[RFC3261]
Via,comp,Yes,[RFC3486]
Via,keep,No,[RFC6223]
Via,maddr,No,[RFC3261]
Via,oc,Yes,[RFC7339]
Via,oc-algo,Yes,[RFC7339][RFC7415]
Via,oc-seq,Yes,[RFC7339]
Via,oc-validity,Yes,[RFC7339]
Via,received,No,[RFC3261][RFC7118]
Via,received-realm,No,[RFC8055]
Via,rport,No,[RFC3581]
Via,sigcomp-id,No,[RFC5049]
Via,ttl,No,[RFC3261]
WWW-Authenticate,algorithm,Yes,[RFC3261][RFC3310]
WWW-Authenticate,authz_server,No,[RFC8898]
WWW-Authenticate,domain,Yes,[RFC3261]
WWW-Authenticate,error,No,[RFC8898]
WWW-Authenticate,nonce,No,[RFC3261]
WWW-Authenticate,opaque,No,[RFC3261]
WWW-Authenticate,qop,Yes,[RFC3261]
WWW-Authenticate,realm,No,[RFC3261]
WWW-Authenticate,scope,No,[RFC8898]
WWW-Authenticate,stale,Yes,[RFC3261]
