Namespace,Namespace Numerical Value,Levels,Algorithm,Intended Code,New warn-code,New resp. Reference
dsn,0,5,preemption,no,no,[RFC4412]
drsn,1,6,preemption,no,no,[RFC4412]
q735,2,5,preemption,no,no,[RFC4412]
ets,3,5,queue,no,no,[RFC4412]
wps,4,5,queue,no,no,[RFC4412]
dsn-000000,5,10,preemption,no,no,[RFC5478]
dsn-000001,6,10,preemption,no,no,[RFC5478]
dsn-000002,7,10,preemption,no,no,[RFC5478]
dsn-000003,8,10,preemption,no,no,[RFC5478]
dsn-000004,9,10,preemption,no,no,[RFC5478]
dsn-000005,10,10,preemption,no,no,[RFC5478]
dsn-000006,11,10,preemption,no,no,[RFC5478]
dsn-000007,12,10,preemption,no,no,[RFC5478]
dsn-000008,13,10,preemption,no,no,[RFC5478]
dsn-000009,14,10,preemption,no,no,[RFC5478]
drsn-000000,15,10,preemption,no,no,[RFC5478]
drsn-000001,16,10,preemption,no,no,[RFC5478]
drsn-000002,17,10,preemption,no,no,[RFC5478]
drsn-000003,18,10,preemption,no,no,[RFC5478]
drsn-000004,19,10,preemption,no,no,[RFC5478]
drsn-000005,20,10,preemption,no,no,[RFC5478]
drsn-000006,21,10,preemption,no,no,[RFC5478]
drsn-000007,22,10,preemption,no,no,[RFC5478]
drsn-000008,23,10,preemption,no,no,[RFC5478]
drsn-000009,24,10,preemption,no,no,[RFC5478]
rts-000000,25,10,preemption,no,no,[RFC5478]
rts-000001,26,10,preemption,no,no,[RFC5478]
rts-000002,27,10,preemption,no,no,[RFC5478]
rts-000003,28,10,preemption,no,no,[RFC5478]
rts-000004,29,10,preemption,no,no,[RFC5478]
rts-000005,30,10,preemption,no,no,[RFC5478]
rts-000006,31,10,preemption,no,no,[RFC5478]
rts-000007,32,10,preemption,no,no,[RFC5478]
rts-000008,33,10,preemption,no,no,[RFC5478]
rts-000009,34,10,preemption,no,no,[RFC5478]
crts-000000,35,10,preemption,no,no,[RFC5478]
crts-000001,36,10,preemption,no,no,[RFC5478]
crts-000002,37,10,preemption,no,no,[RFC5478]
crts-000003,38,10,preemption,no,no,[RFC5478]
crts-000004,39,10,preemption,no,no,[RFC5478]
crts-000005,40,10,preemption,no,no,[RFC5478]
crts-000006,41,10,preemption,no,no,[RFC5478]
crts-000007,42,10,preemption,no,no,[RFC5478]
crts-000008,43,10,preemption,no,no,[RFC5478]
crts-000009,44,10,preemption,no,no,[RFC5478]
esnet,45,5,queue,no,no,[RFC7135]
