Header Name,compact,Reference
Accept,,[RFC3261]
Accept-Contact,a,[RFC3841]
Accept-Encoding,,[RFC3261]
Accept-Language,,[RFC3261]
Accept-Resource-Priority,,[RFC4412]
Additional-Identity,,"[3GPP TS 24.229 v16.7.0]
        [Frederic_Firmin]"
Alert-Info,,[RFC3261]
AlertMsg-Error,,[RFC8876]
Allow,,[RFC3261]
Allow-Events,u,[RFC6665]
Answer-Mode,,[RFC5373]
Attestation-Info,,"[3GPP TS 24.229 v15.11.0]
        [Frederic_Firmin]"
Authentication-Info,,[RFC3261]
Authorization,,[RFC3261]
Call-ID,i,[RFC3261]
Call-Info,,[RFC3261]
Cellular-Network-Info,,"[3GPP TS 24.229 v13.9.0]
        [Frederic_Firmin]"
Contact,m,[RFC3261]
Content-Disposition,,[RFC3261]
Content-Encoding,e,[RFC3261]
Content-ID,,[RFC8262]
Content-Language,,[RFC3261]
Content-Length,l,[RFC3261]
Content-Type,c,[RFC3261]
CSeq,,[RFC3261]
Date,,[RFC3261]
Encryption (Deprecated),,[RFC3261]
Error-Info,,[RFC3261]
Event,o,[RFC6665][RFC6446]
Expires,,[RFC3261]
Feature-Caps,,[RFC6809]
Flow-Timer,,[RFC5626]
From,f,[RFC3261]
Geolocation,,[RFC6442]
Geolocation-Error,,[RFC6442]
Geolocation-Routing,,[RFC6442]
Hide (Deprecated),,[RFC3261]
History-Info,,[RFC7044]
Identity,y,[RFC8224]
Identity-Info (deprecated by [RFC8224]),,[RFC8224]
Info-Package,,[RFC6086]
In-Reply-To,,[RFC3261]
Join,,[RFC3911]
Max-Breadth,,[RFC5393]
Max-Forwards,,[RFC3261]
MIME-Version,,[RFC3261]
Min-Expires,,[RFC3261]
Min-SE,,[RFC4028]
Organization,,[RFC3261]
Origination-Id,,"[3GPP TS 24.229 v15.11.0]
        [Frederic_Firmin]"
P-Access-Network-Info,,[RFC7315]
P-Answer-State,,[RFC4964]
P-Asserted-Identity,,[RFC3325]
P-Asserted-Service,,[RFC6050]
P-Associated-URI,,[RFC7315]
P-Called-Party-ID,,[RFC7315]
P-Charge-Info,,[RFC8496]
P-Charging-Function-Addresses,,[RFC7315]
P-Charging-Vector,,[RFC7315]
P-DCS-Trace-Party-ID,,[RFC5503]
P-DCS-OSPS,,[RFC5503]
P-DCS-Billing-Info,,[RFC5503]
P-DCS-LAES,,[RFC5503]
P-DCS-Redirect,,[RFC5503]
P-Early-Media,,[RFC5009]
P-Media-Authorization,,[RFC3313]
P-Preferred-Identity,,[RFC3325]
P-Preferred-Service,,[RFC6050]
P-Private-Network-Indication,,[RFC7316]
P-Profile-Key,,[RFC5002]
P-Refused-URI-List,,[RFC5318]
P-Served-User,,"[RFC5502]
        [RFC8498]"
P-User-Database,,[RFC4457]
P-Visited-Network-ID,,[RFC7315]
Path,,[RFC3327]
Permission-Missing,,[RFC5360]
Policy-Contact,,[RFC6794]
Policy-ID,,[RFC6794]
Priority,,[RFC3261]
Priority-Share,,"[3GPP TS 24.229 v13.16.0]
      [Frederic_Firmin]"
Priv-Answer-Mode,,[RFC5373]
Privacy,,[RFC3323]
Proxy-Authenticate,,[RFC3261]
Proxy-Authorization,,[RFC3261]
Proxy-Require,,[RFC3261]
RAck,,[RFC3262]
Reason,,[RFC3326]
Reason-Phrase,,Reserved to avoid conflict with [RFC6873]. [Adam_Roach]
Record-Route,,[RFC3261]
Recv-Info,,[RFC6086]
Refer-Events-At,,[RFC7614]
Refer-Sub,,[RFC4488]
Refer-To,r,[RFC3515]
Referred-By,b,[RFC3892]
Reject-Contact,j,[RFC3841]
Relayed-Charge,,"[3GPP TS 24.229 v12.14.0]
        [Frederic_Firmin]"
Replaces,,[RFC3891]
Reply-To,,[RFC3261]
Request-Disposition,d,[RFC3841]
Require,,[RFC3261]
Resource-Priority,,[RFC4412]
Resource-Share,,"[3GPP TS 24.229 v13.7.0]
        [Frederic_Firmin]"
Response-Key (Deprecated),,[RFC3261]
Response-Source,,"[3GPP TS 24.229 v15.11.0]
        [Frederic_Firmin]"
Restoration-Info,,"[3GPP TS 24.229 v12.14.0]
        [Frederic_Firmin]"
Retry-After,,[RFC3261]
Route,,[RFC3261]
RSeq,,[RFC3262]
Security-Client,,[RFC3329]
Security-Server,,[RFC3329]
Security-Verify,,[RFC3329]
Server,,[RFC3261]
Service-Interact-Info,,"[3GPP TS 24.229 v13.18.0]
        [Frederic_Firmin]"
Service-Route,,[RFC3608]
Session-Expires,x,[RFC4028]
Session-ID,,[RFC7989]
SIP-ETag,,[RFC3903]
SIP-If-Match,,[RFC3903]
Subject,s,[RFC3261]
Subscription-State,,[RFC6665]
Supported,k,[RFC3261]
Suppress-If-Match,,[RFC5839]
Target-Dialog,,[RFC4538]
Timestamp,,[RFC3261]
To,t,[RFC3261]
Trigger-Consent,,[RFC5360]
Unsupported,,[RFC3261]
User-Agent,,[RFC3261]
User-to-User,,[RFC7433]
Via,v,[RFC3261][RFC7118]
Warning,,[RFC3261]
WWW-Authenticate,,[RFC3261]
