Response Code,Description,Reference
100,Trying,
180,Ringing,
181,Call Is Being Forwarded,
182,Queued,
183,Session Progress,
199,Early Dialog Terminated,[RFC6228]
200,OK,
202,Accepted (Deprecated),[RFC6665]
204,No Notification,[RFC5839]
300,Multiple Choices,
301,Moved Permanently,
302,Moved Temporarily,
305,Use Proxy,
380,Alternative Service,
400,Bad Request,
401,Unauthorized,
402,Payment Required,
403,Forbidden,
404,Not Found,
405,Method Not Allowed,
406,Not Acceptable,
407,Proxy Authentication Required,
408,Request Timeout,
410,Gone,
412,Conditional Request Failed,[RFC3903]
413,Request Entity Too Large,
414,Request-URI Too Long,
415,Unsupported Media Type,
416,Unsupported URI Scheme,
417,Unknown Resource-Priority,[RFC4412]
420,Bad Extension,
421,Extension Required,
422,Session Interval Too Small,[RFC4028]
423,Interval Too Brief,
424,Bad Location Information,[RFC6442]
428,Use Identity Header,[RFC8224]
429,Provide Referrer Identity,[RFC3892]
430,Flow Failed,[RFC5626]
433,Anonymity Disallowed,[RFC5079]
436,Bad Identity Info,[RFC8224]
437,Unsupported Credential,[RFC8224]
438,Invalid Identity Header,[RFC8224]
439,First Hop Lacks Outbound Support,[RFC5626]
440,Max-Breadth Exceeded,[RFC5393]
469,Bad Info Package,[RFC6086]
470,Consent Needed,[RFC5360]
480,Temporarily Unavailable,
481,Call/Transaction Does Not Exist,
482,Loop Detected,
483,Too Many Hops,
484,Address Incomplete,
485,Ambiguous,
486,Busy Here,
487,Request Terminated,
488,Not Acceptable Here,
489,Bad Event,[RFC6665]
491,Request Pending,
493,Undecipherable,
494,Security Agreement Required,[RFC3329]
500,Server Internal Error,
501,Not Implemented,
502,Bad Gateway,
503,Service Unavailable,
504,Server Time-out,
505,Version Not Supported,
513,Message Too Large,
580,Precondition Failure,[RFC3312]
600,Busy Everywhere,
603,Decline,
604,Does Not Exist Anywhere,
606,Not Acceptable,
607,Unwanted,[RFC8197]
