OID Value,Description,References
1.3.6.1.5.5.11.0.1,id-mod-ers,[RFC4998]
1.3.6.1.5.5.11.0.1.1,id-mod-ers-v1,[RFC4998]
1.3.6.1.5.5.11.0.2,id-mod-ers88,[RFC4998]
1.3.6.1.5.5.11.0.2.1,id-mod-ers88-v1,[RFC4998]
1.3.6.1.5.5.11.0.3,id-mod-ltap88,[Reserved]
1.3.6.1.5.5.11.0.3.0,id-mod-ltap88-v0,[Reserved]
1.3.6.1.5.5.11.0.3.1,id-mod-ltap88-v1,[Reserved]
1.3.6.1.5.5.11.0.4,id-mod-ltap,[Reserved]
1.3.6.1.5.5.11.0.4.0,id-mod-ltap-v0,[Reserved]
1.3.6.1.5.5.11.0.4.1,id-mod-ltap-v1,[Reserved]
1.3.6.1.5.5.11.0.5,id-mod-ers-scvp,[RFC5276]
1.3.6.1.5.5.11.0.5.1,id-mod-ers-scvp-v1,[RFC5276]
1.3.6.1.5.5.11.0.6,id-mod-dssc88,[RFC5698]
1.3.6.1.5.5.11.0.6.1,id-mod-dssc88-v1,[RFC5698]
1.3.6.1.5.5.11.0.7,id-mod-dssc,[RFC5698]
1.3.6.1.5.5.11.0.7.1,id-mod-dssc-v1,[RFC5698]
