Decimal,Description,References
1,id-alg-ESDHwith3DES,[Reserved and Obsolete]
2,id-alg-ESDHwithRC2,[Reserved and Obsolete]
3,id-alg-3DESwrap,[Reserved and Obsolete]
4,id-alg-RC2wrap,[Reserved and Obsolete]
5,id-alg-ESDH,[RFC2630]
6,id-alg-CMS3DESwrap,[RFC2630]
7,id-alg-CMSRC2wrap,[RFC2630]
8,id-alg-zLibCompress,[RFC3274]
9,id-alg-PWRI-KEK,[RFC3211]
10,id-alg-SSDH,[RFC3370]
11,id-alg-HMACwith3DESwrap,[RFC3537]
12,id-alg-HMACwithAESwrap,[RFC3537]
13,id-alg-MD5-XOR-EXPERIMENT,[RFC6210]
14,id-alg-rsa-kem,[RFC5990]
15,id-alg-authEnc-128,[RFC6476]
16,id-alg-authEnc-256,[RFC6476]
17,id-alg-mts-hashsig,[draft-housley-cms-mts-hash-sig]
18,id-alg-AEADChaCha20Poly1305,[RFC8103]
19,dhSinglePass-stdDH-hkdf-sha256-scheme,[RFC8418]
20,dhSinglePass-stdDH-hkdf-sha384-scheme,[RFC8418]
21,dhSinglePass-stdDH-hkdf-sha512-scheme,[RFC8418]
22,id-alg-AES-SIV-CMAC-aead-256,[RFC5297]
23,id-alg-AES-SIV-CMAC-aead-384,[RFC5297]
24,id-alg-AES-SIV-CMAC-aead-512,[RFC5297]
25,id-alg-AES-SIV-CMAC-wrap-256,[RFC5297]
26,id-alg-AES-SIV-CMAC-wrap-384,[RFC5297]
27,id-alg-AES-SIV-CMAC-wrap-512,[RFC5297]
28,id-alg-hkdf-with-sha256,[RFC-housley-hkdf-oids-01]
29,id-alg-hkdf-with-sha384,[RFC-housley-hkdf-oids-01]
30,id-alg-hkdf-with-sha512,[RFC-housley-hkdf-oids-01]
