Decimal,Description,References
1,id-regCtrl-regToken,[RFC2511]
2,id-regCtrl-authenticator,[RFC2511]
3,id-regCtrl-pkiPublicationInfo,[RFC2511]
4,id-regCtrl-pkiArchiveOptions,[RFC2511]
5,id-regCtrl-oldCertID,[RFC2511]
6,id-regCtrl-protocolEncrKey,[RFC2511]
7,id-regCtrl-altCertTemplate,[RFC4210]
8,id-regCtrl-wtlsTemplate,[Reserved and Obsolete]
9,id-regCtrl-regTokenUTF8,[Reserved and Obsolete]
10,id-regCtrl-authenticatorUTF8,[Reserved and Obsolete]
11,id-regCtrl-algId,[draft-ietf-lamps-cmp-updates-18]
12,id-regCtrl-rsaKeyLen,[draft-ietf-lamps-cmp-updates-18]
