Decimal,Description,References
1,id-alg-des40,[Reserved and Obsolete]
2,id-alg-noSignature,[RFC2797]
3,id-alg-dh-sig-hmac-sha1,[RFC2875]
4,id-alg-dhPop-sha1,[RFC2875]
5,id-alg-dhPop-sha224,[RFC6955]
6,id-alg-dhPop-sha256,[RFC6955]
7,id-alg-dhPop-sha384,[RFC6955]
8,id-alg-dhPop-sha512,[RFC6955]
15,id-alg-dhPop-static-sha224-hmac-sha224,[RFC6955]
16,id-alg-dhPop-static-sha256-hmac-sha256,[RFC6955]
17,id-alg-dhPop-static-sha384-hmac-sha384,[RFC6955]
18,id-alg-dhPop-static-sha512-hmac-sha512,[RFC6955]
25,id-alg-ecdhPop-static-sha224-hmac-sha224,[RFC6955]
26,id-alg-ecdhPop-static-sha256-hmac-sha256,[RFC6955]
27,id-alg-ecdhPop-static-sha384-hmac-sha384,[RFC6955]
28,id-alg-ecdhPop-static-sha512-hmac-sha512,[RFC6955]
29,id-alg-eccsi-with-sha256,[draft-wang-tls-raw-public-key-with-ibc]
30,id-RSASSA-PSS-SHAKE128,[RFC-ietf-lamps-pkix-shake-15]
31,id-RSASSA-PSS-SHAKE256,[RFC-ietf-lamps-pkix-shake-15]
32,id-ecdsa-with-shake128,[RFC-ietf-lamps-pkix-shake-15]
33,id-ecdsa-with-shake256,[RFC-ietf-lamps-pkix-shake-15]
