Decimal,Name,References
1,MPLS-TC-STD-MIB,[RFC3811]
2,MPLS-LSR-STD-MIB,[RFC3813]
3,MPLS-TE-STD-MIB,[RFC3812]
4,MPLS-LDP-STD-MIB,[RFC3815]
5,MPLS-LDP-ATM-STD-MIB,[RFC3815]
6,MPLS-LDP-FRAME-RELAY-STD-MIB,[RFC3815]
7,MPLS-LDP-GENERIC-STD-MIB,[RFC3815]
8,MPLS-FTN-STD-MIB,[RFC3814]
9,MPLS-LC-ATM-STD-MIB,[RFC4368]
10,MPLS-LC-FR-STD-MIB,[RFC4368]
11,MPLS-L3VPN-STD-MIB,[RFC4382]
12,GMPLS-TC-STD-MIB,[RFC4801]
13,GMPLS-TE-STD-MIB,[RFC4802]
14,Unassigned,
15,GMPLS-LSR-STD-MIB,[RFC4803]
16,GMPLS-LABEL-STD-MIB,[RFC4803]
17,MPLS-TC-EXT-STD-MIB,[RFC7453]
18,MPLS-ID-STD-MIB,[RFC7453]
19,MPLS-LSR-EXT-STD-MIB,[RFC7453]
20,MPLS-TE-EXT-STD-MIB,[RFC7453]
21,MPLS-OAM-ID-STD-MIB,[RFC7697]
