Value,Message ID,Reference
1,SSH_MSG_DISCONNECT,[RFC4253]
2,SSH_MSG_IGNORE,[RFC4253]
3,SSH_MSG_UNIMPLEMENTED,[RFC4253]
4,SSH_MSG_DEBUG,[RFC4253]
5,SSH_MSG_SERVICE_REQUEST,[RFC4253]
6,SSH_MSG_SERVICE_ACCEPT,[RFC4253]
7-19,Unassigned (Transport layer generic),
20,SSH_MSG_KEXINIT,[RFC4253]
21,SSH_MSG_NEWKEYS,[RFC4253]
22-29,Unassigned (Algorithm negotiation),
30-49,Reserved (key exchange method specific),[RFC4251]
50,SSH_MSG_USERAUTH_REQUEST,[RFC4252]
51,SSH_MSG_USERAUTH_FAILURE,[RFC4252]
52,SSH_MSG_USERAUTH_SUCCESS,[RFC4252]
53,SSH_MSG_USERAUTH_BANNER,[RFC4252]
54-59,Unassigned (User authentication generic),
60,SSH_MSG_USERAUTH_INFO_REQUEST,[RFC4256]
61,SSH_MSG_USERAUTH_INFO_RESPONSE,[RFC4256]
62-79,Reserved (User authentication method specific),[RFC4251]
80,SSH_MSG_GLOBAL_REQUEST,[RFC4254]
81,SSH_MSG_REQUEST_SUCCESS,[RFC4254]
82,SSH_MSG_REQUEST_FAILURE,[RFC4254]
83-89,Unassigned (Connection protocol generic),
90,SSH_MSG_CHANNEL_OPEN,[RFC4254]
91,SSH_MSG_CHANNEL_OPEN_CONFIRMATION,[RFC4254]
92,SSH_MSG_CHANNEL_OPEN_FAILURE,[RFC4254]
93,SSH_MSG_CHANNEL_WINDOW_ADJUST,[RFC4254]
94,SSH_MSG_CHANNEL_DATA,[RFC4254]
95,SSH_MSG_CHANNEL_EXTENDED_DATA,[RFC4254]
96,SSH_MSG_CHANNEL_EOF,[RFC4254]
97,SSH_MSG_CHANNEL_CLOSE,[RFC4254]
98,SSH_MSG_CHANNEL_REQUEST,[RFC4254]
99,SSH_MSG_CHANNEL_SUCCESS,[RFC4254]
100,SSH_MSG_CHANNEL_FAILURE,[RFC4254]
101-127,Unassigned (Channel related messages),
128-191,Reserved (for client protocols),
192-255,Reserved for Private Use (local extensions),
