Method Name,Reference,Note
diffie-hellman-group-exchange-sha1,[RFC4419],Section 4.1
diffie-hellman-group-exchange-sha256,[RFC4419],Section 4.2
diffie-hellman-group1-sha1,[RFC4253],Section 8.1
diffie-hellman-group14-sha1,[RFC4253],Section 8.2
diffie-hellman-group14-sha256,[RFC8268],
diffie-hellman-group15-sha512,[RFC8268],
diffie-hellman-group16-sha512,[RFC8268],
diffie-hellman-group17-sha512,[RFC8268],
diffie-hellman-group18-sha512,[RFC8268],
ecdh-sha2-*,[RFC5656],
ecmqv-sha2,[RFC5656],
gss-group1-sha1-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-group14-sha1-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-gex-sha1-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-*,[RFC4462],Section 2.6
rsa1024-sha1,[RFC4432],
rsa2048-sha256,[RFC4432],
ext-info-s,[RFC8308],Section 2
ext-info-c,[RFC8308],Section 2
gss-group14-sha256-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-group15-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-group16-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-group17-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-group18-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-nistp256-sha256-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-nistp384-sha384-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-nistp521-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-curve25519-sha256-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
gss-curve448-sha512-*,[RFC-ietf-curdle-gss-keyex-sha2-10],
curve25519-sha256,[RFC-ietf-curdle-ssh-curves-12],
curve448-sha512,[RFC-ietf-curdle-ssh-curves-12],
