Public Key Algorithm Name,Public Key Format,Reference,Note
ssh-dss,ssh-dss,[RFC4253],Section 6.6
ssh-rsa,ssh-rsa,[RFC4253],Section 6.6
rsa-sha2-256,ssh-rsa,[RFC8332],Section 3
rsa-sha2-512,ssh-rsa,[RFC8332],Section 3
spki-sign-rsa,spki-sign-rsa,[RFC4253],Section 6.6
spki-sign-dss,spki-sign-dss,[RFC4253],Section 6.6
pgp-sign-rsa,pgp-sign-rsa,[RFC4253],Section 6.6
pgp-sign-dss,pgp-sign-dss,[RFC4253],Section 6.6
null,null,[RFC4462],Section 5
ecdsa-sha2-*,ecdsa-sha2-*,[RFC5656],
x509v3-ssh-dss,x509v3-ssh-dss,[RFC6187],
x509v3-ssh-rsa,x509v3-ssh-rsa,[RFC6187],
x509v3-rsa2048-sha256,x509v3-rsa2048-sha256,[RFC6187],
x509v3-ecdsa-sha2-*,x509v3-ecdsa-sha2-*,[RFC6187],
ssh-ed25519,ssh-ed25519,[RFC8709],
ssh-ed448,ssh-ed448,[RFC8709],
