Value,Status Code,Reference
0,SSH_PUBLICKEY_SUCCESS,[RFC4819]
1,SSH_PUBLICKEY_ACCESS_DENIED,[RFC4819]
2,SSH_PUBLICKEY_STORAGE_EXCEEDED,[RFC4819]
3,SSH_PUBLICKEY_VERSION_NOT_SUPPORTED,[RFC4819]
4,SSH_PUBLICKEY_KEY_NOT_FOUND,[RFC4819]
5,SSH_PUBLICKEY_KEY_NOT_SUPPORTED,[RFC4819]
6,SSH_PUBLICKEY_KEY_ALREADY_PRESENT,[RFC4819]
7,SSH_PUBLICKEY_GENERAL_FAILURE,[RFC4819]
8,SSH_PUBLICKEY_REQUEST_NOT_SUPPORTED,[RFC4819]
9,SSH_PUBLICKEY_ATTRIBUTE_NOT_SUPPORTED,[RFC4819]
10-191,Standards Action,
192-255,Reserved,
