Reason Code,Symbolic Name,Reference
0x00000000,Reserved,
0x00000001,SSH_DISCONNECT_HOST_NOT_ALLOWED_TO_CONNECT,[RFC4253]
0x00000002,SSH_DISCONNECT_PROTOCOL_ERROR,[RFC4253]
0x00000003,SSH_DISCONNECT_KEY_EXCHANGE_FAILED,[RFC4253]
0x00000004,SSH_DISCONNECT_RESERVED,[RFC4253]
0x00000005,SSH_DISCONNECT_MAC_ERROR,[RFC4253]
0x00000006,SSH_DISCONNECT_COMPRESSION_ERROR,[RFC4253]
0x00000007,SSH_DISCONNECT_SERVICE_NOT_AVAILABLE,[RFC4253]
0x00000008,SSH_DISCONNECT_PROTOCOL_VERSION_NOT_SUPPORTED,[RFC4253]
0x00000009,SSH_DISCONNECT_HOST_KEY_NOT_VERIFIABLE,[RFC4253]
0x0000000A,SSH_DISCONNECT_CONNECTION_LOST,[RFC4253]
0x0000000B,SSH_DISCONNECT_BY_APPLICATION,[RFC4253]
0x0000000C,SSH_DISCONNECT_TOO_MANY_CONNECTIONS,[RFC4253]
0x0000000D,SSH_DISCONNECT_AUTH_CANCELLED_BY_USER,[RFC4253]
0x0000000E,SSH_DISCONNECT_NO_MORE_AUTH_METHODS_AVAILABLE,[RFC4253]
0x0000000F,SSH_DISCONNECT_ILLEGAL_USER_NAME,[RFC4253]
0x00000010-0xFDFFFFFF,Unassigned,
0xFE000000-0xFFFFFFFF,Reserved for Private Use,
