Value,Description,Reference
0,Reserved,[RFC-ietf-ippm-stamp-option-tlv-10]
1,NTP,[RFC-ietf-ippm-stamp-option-tlv-10]
2,PTP,[RFC-ietf-ippm-stamp-option-tlv-10]
3,SSU/BITS,[RFC-ietf-ippm-stamp-option-tlv-10]
4,GPS/GLONASS/LORAN-C/BDS/Galileo,[RFC-ietf-ippm-stamp-option-tlv-10]
5,Local free-running,[RFC-ietf-ippm-stamp-option-tlv-10]
6-239,Unassigned,
240-249,Reserved for Experimental Use,[RFC-ietf-ippm-stamp-option-tlv-10]
250-254,Reserved for Private Use,[RFC-ietf-ippm-stamp-option-tlv-10]
255,Reserved,[RFC-ietf-ippm-stamp-option-tlv-10]
