Value,Description,Reference
0,Reserved,[RFC8972]
1,Extra Padding,[RFC8972]
2,Location,[RFC8972]
3,Timestamp Information,[RFC8972]
4,Class of Service,[RFC8972]
5,Direct Measurement,[RFC8972]
6,Access Report,[RFC8972]
7,Follow-Up Telemetry,[RFC8972]
8,HMAC,[RFC8972]
9,"Destination Node Address (TEMPORARY - registered 2022-08-09, expires 2023-08-09)",[draft-ietf-ippm-stamp-srpm-04]
10,"Return Path (TEMPORARY - registered 2022-08-09, expires 2023-08-09)",[draft-ietf-ippm-stamp-srpm-04]
11-239,Unassigned,
240-251,Reserved for Experimental Use,[RFC8972]
252-254,Reserved for Private Use,[RFC8972]
255,Reserved,[RFC8972]
