Value,Description,Reference
0,Unassigned,
1,User account expires soon,[RFC7170]
2,User account credential expires soon,[RFC7170]
3,User account authorizations change soon,[RFC7170]
4,Clock skew detected,[RFC7170]
5,Contact administrator,[RFC7170]
6,User account credentials change required,[RFC7170]
7-1000,Unassigned,
1001,Inner Method Error,[RFC7170]
1002,Unspecified authentication infrastructure problem,[RFC7170]
1003,Unspecified authentication failure,[RFC7170]
1004,Unspecified authorization failure,[RFC7170]
1005,User account credentials unavailable,[RFC7170]
1006,User account expired,[RFC7170]
1007,User account locked: try again later,[RFC7170]
1008,User account locked: admin intervention required,[RFC7170]
1009,Authentication infrastructure unavailable,[RFC7170]
1010,Authentication infrastructure not trusted,[RFC7170]
1011,Clock skew too great,[RFC7170]
1012,Invalid inner realm,[RFC7170]
1013,Token out of sync: administrator intervention required,[RFC7170]
1014,Token out of sync: PIN change required,[RFC7170]
1015,Token revoked,[RFC7170]
1016,Tokens exhausted,[RFC7170]
1017,Challenge expired,[RFC7170]
1018,Challenge algorithm mismatch,[RFC7170]
1019,Client certificate not supplied,[RFC7170]
1020,Client certificate rejected,[RFC7170]
1021,Realm mismatch between inner and outer identity,[RFC7170]
1022,Unsupported Algorithm In Certificate Signing Request,[RFC7170]
1023,Unsupported Extension In Certificate Signing Request,[RFC7170]
1024,Bad Identity in Certificate Signing Request,[RFC7170]
1025,Bad Certificate Signing Request,[RFC7170]
1026,Internal CA Error,[RFC7170]
1027,General PKI Error,[RFC7170]
1028,Inner method's channel-binding data required but not supplied,[RFC7170]
1029,Inner method's channel-binding data did not include required information,[RFC7170]
1030,Inner method's channel binding data failed,[RFC7170]
1031,User account credentials incorrect [USAGE NOT RECOMMENDED],[RFC7170]
1032-2000,Unassigned,
2001,Tunnel Compromise Error,[RFC7170]
2002,Unexpected TLVs Exchanged,[RFC7170]
2003-4294967295,Unassigned,
