Value,Description,Reference
0,Unassigned,
1,Authority-ID TLV,[RFC7170]
2,Identity-Type TLV,[RFC7170]
3,Result TLV,[RFC7170]
4,NAK TLV,[RFC7170]
5,Error TLV,[RFC7170]
6,Channel-Binding TLV,[RFC7170]
7,Vendor-Specific TLV,[RFC7170]
8,Request-Action TLV,[RFC7170]
9,EAP-Payload TLV,[RFC7170]
10,Intermediate-Result TLV,[RFC7170]
11,PAC TLV,[RFC7170]
12,Crypto-Binding TLV,[RFC7170]
13,Basic-Password-Auth-Req TLV,[RFC7170]
14,Basic-Password-Auth-Resp TLV,[RFC7170]
15,PKCS#7 TLV,[RFC7170]
16,PKCS#10 TLV,[RFC7170]
17,Trusted-Server-Root TLV,[RFC7170]
18-16383,Unassigned,
