Parameter Name,Predefined Values,Reference
isub,Constrained,[RFC3966]
isub-encoding,Constrained,[RFC4715]
ext,Constrained,[RFC3966]
phone-context,Constrained,[RFC3966]
enumdi,No value,[RFC4759]
npdi,No value,[RFC4694]
rn,Constrained,[RFC4694]
rn-context,Constrained,[RFC4694]
cic,Constrained,[RFC4694]
cic-context,Constrained,[RFC4694]
tgrp,Constrained,[RFC4904]
trunk-context,Constrained,[RFC4904]
premium-rate,Constrained,[3GPP TS 24.229 12.14.0 (cf subclause 7.2A.17)][Frederic_Firmin]
