Options,Name,Reference
0,Binary Transmission,[RFC856]
1,Echo,[RFC857]
2,Reconnection,"[DDN Protocol Handbook, ""Telnet Reconnection Option"",
""Telnet Output Line Width Option"", ""Telnet Output Page Size
Option"", NIC 50005, December 1985.]"
3,Suppress Go Ahead,[RFC858]
4,Approx Message Size Negotiation,"[""The Ethernet, A Local Area Network: Data Link Layer and
Physical Layer Specification"", AA-K759B-TK, Digital
Equipment Corporation, Maynard, MA.  Also as: ""The
Ethernet - A Local Area Network"", Version 1.0, Digital
Equipment Corporation, Intel Corporation, Xerox
Corporation, September 1980.  And: ""The Ethernet, A Local
Area Network: Data Link Layer and Physical Layer
Specifications"", Digital, Intel and Xerox, November 1982.
And: XEROX, ""The Ethernet, A Local Area Network: Data Link
Layer and Physical Layer Specification"", X3T51/80-50, Xerox
Corporation, Stamford, CT., October 1980.]"
5,Status,[RFC859]
6,Timing Mark,[RFC860]
7,Remote Controlled Trans and Echo,[RFC726]
8,Output Line Width,"[DDN Protocol Handbook, ""Telnet Reconnection Option"",
""Telnet Output Line Width Option"", ""Telnet Output Page Size
Option"", NIC 50005, December 1985.]"
9,Output Page Size,"[DDN Protocol Handbook, ""Telnet Reconnection Option"",
""Telnet Output Line Width Option"", ""Telnet Output Page Size
Option"", NIC 50005, December 1985.]"
10,Output Carriage-Return Disposition,[RFC652]
11,Output Horizontal Tab Stops,[RFC653]
12,Output Horizontal Tab Disposition,[RFC654]
13,Output Formfeed Disposition,[RFC655]
14,Output Vertical Tabstops,[RFC656]
15,Output Vertical Tab Disposition,[RFC657]
16,Output Linefeed Disposition,[RFC658]
17,Extended ASCII,[RFC698]
18,Logout,[RFC727]
19,Byte Macro,[RFC735]
20,Data Entry Terminal,[RFC1043][RFC732]
21,SUPDUP,[RFC736][RFC734]
22,SUPDUP Output,[RFC749]
23,Send Location,[RFC779]
24,Terminal Type,[RFC1091]
25,End of Record,[RFC885]
26,TACACS User Identification,[RFC927]
27,Output Marking,[RFC933]
28,Terminal Location Number,[RFC946]
29,Telnet 3270 Regime,[RFC1041]
30,X.3 PAD,[RFC1053]
31,Negotiate About Window Size,[RFC1073]
32,Terminal Speed,[RFC1079]
33,Remote Flow Control,[RFC1372]
34,Linemode,[RFC1184]
35,X Display Location,[RFC1096]
36,Environment Option,[RFC1408]
37,Authentication Option,[RFC2941]
38,Encryption Option,[RFC2946]
39,New Environment Option,[RFC1572]
40,TN3270E,[RFC2355]
41,XAUTH,[Rob_Earhart]
42,CHARSET,[RFC2066]
43,Telnet Remote Serial Port (RSP),[Robert_Barnes]
44,Com Port Control Option,[RFC2217]
45,Telnet Suppress Local Echo,[Wirt_Atmar]
46,Telnet Start TLS,[Michael_Boe]
47,KERMIT,[RFC2840]
48,SEND-URL,[David_Croft]
49,FORWARD_X,[Jeffrey_Altman]
50-137,Unassigned,[IANA]
138,TELOPT PRAGMA LOGON,[Steve_McGregory]
139,TELOPT SSPI LOGON,[Steve_McGregory]
140,TELOPT PRAGMA HEARTBEAT,[Steve_McGregory]
141-254,Unassigned,
255,Extended-Options-List,[RFC861]
