Value,DTLS-OK,Reference,Note
client finished,Y,[RFC5246],(1)
server finished,Y,[RFC5246],(1)
master secret,Y,[RFC5246],(1)
key expansion,Y,[RFC5246],(1)
client EAP encryption,N,[RFC5216][RFC6347],
ttls keying material,N,[RFC5281][RFC6347],
ttls challenge,N,[RFC5281][RFC6347],
EXTRACTOR-dtls_srtp,Y,[RFC5764],
EXPORTER_DTLS_OVER_SCTP,Y,[RFC6083],
EXPORTER-ETSI-TC-M2M-Bootstrap,Y,[TS 102 921 v2.0.3][Miguel_Angel_Reina_Ortega],
EXPORTER-ETSI-TC-M2M-Connection,Y,[TS 102 921 v2.0.3][Miguel_Angel_Reina_Ortega],
TLS_MK_Extr,Y,[TR 33.222][Silke_Holtmanns],
EXPORTER_GBA_Digest,Y,[TS 33.220 Annex M.6][Silke_Holtmanns],
EXPORTER: teap session key seed,N,[RFC7170],
EXPORTER-oneM2M-Bootstrap,Y,[oneM2M Security Solutions][Miguel_Angel_Reina_Ortega],
EXPORTER-oneM2M-Connection,Y,[oneM2M Security Solutions][Miguel_Angel_Reina_Ortega],
EXPORTER-oneM2M-ESCertKE,Y,[oneM2M Security Solutions][Miguel_Angel_Reina_Ortega],
