Value,Description,DTLS-OK,Recommended,Reference,Comment
0,Reserved,,,[RFC8447],
1,sect163k1,Y,N,[RFC8422],
2,sect163r1,Y,N,[RFC8422],
3,sect163r2,Y,N,[RFC8422],
4,sect193r1,Y,N,[RFC8422],
5,sect193r2,Y,N,[RFC8422],
6,sect233k1,Y,N,[RFC8422],
7,sect233r1,Y,N,[RFC8422],
8,sect239k1,Y,N,[RFC8422],
9,sect283k1,Y,N,[RFC8422],
10,sect283r1,Y,N,[RFC8422],
11,sect409k1,Y,N,[RFC8422],
12,sect409r1,Y,N,[RFC8422],
13,sect571k1,Y,N,[RFC8422],
14,sect571r1,Y,N,[RFC8422],
15,secp160k1,Y,N,[RFC8422],
16,secp160r1,Y,N,[RFC8422],
17,secp160r2,Y,N,[RFC8422],
18,secp192k1,Y,N,[RFC8422],
19,secp192r1,Y,N,[RFC8422],
20,secp224k1,Y,N,[RFC8422],
21,secp224r1,Y,N,[RFC8422],
22,secp256k1,Y,N,[RFC8422],
23,secp256r1,Y,Y,[RFC8422],
24,secp384r1,Y,Y,[RFC8422],
25,secp521r1,Y,N,[RFC8422],
26,brainpoolP256r1,Y,N,[RFC7027],
27,brainpoolP384r1,Y,N,[RFC7027],
28,brainpoolP512r1,Y,N,[RFC7027],
29,x25519,Y,Y,[RFC8446][RFC8422],
30,x448,Y,Y,[RFC8446][RFC8422],
31,brainpoolP256r1,Y,N,[draft-bruckert-brainpool-for-tls13],
32,brainpoolP384r1,Y,N,[draft-bruckert-brainpool-for-tls13],
33,brainpoolP512r1,Y,N,[draft-bruckert-brainpool-for-tls13],
34,GC256A,Y,N,[draft-smyshlyaev-tls12-gost-suites],
35,GC256B,Y,N,[draft-smyshlyaev-tls12-gost-suites],
36,GC256C,Y,N,[draft-smyshlyaev-tls12-gost-suites],
37,GC256D,Y,N,[draft-smyshlyaev-tls12-gost-suites],
38,GC512A,Y,N,[draft-smyshlyaev-tls12-gost-suites],
39,GC512B,Y,N,[draft-smyshlyaev-tls12-gost-suites],
40,GC512C,Y,N,[draft-smyshlyaev-tls12-gost-suites],
41-255,Unassigned,,,,
256,ffdhe2048,Y,N,[RFC7919],
257,ffdhe3072,Y,N,[RFC7919],
258,ffdhe4096,Y,N,[RFC7919],
259,ffdhe6144,Y,N,[RFC7919],
260,ffdhe8192,Y,N,[RFC7919],
261-507,Unassigned,,,,
508-511,Reserved for Private Use,,,[RFC7919],
512-65023,Unassigned,,,,
65024-65279,Reserved for Private Use,,,[RFC8422],
65280,Unassigned,,,,
65281,arbitrary_explicit_prime_curves,Y,N,[RFC8422],
65282,arbitrary_explicit_char2_curves,Y,N,[RFC8422],
65283-65535,Unassigned,,,,
