Value,Description,Recommended,Reference
0x0000-0x0200,Reserved for backward compatibility,,[RFC8446]
0x0201,rsa_pkcs1_sha1,N,[RFC8446][RFC9155]
0x0202,Reserved for backward compatibility,,[RFC8446]
0x0203,ecdsa_sha1,N,[RFC8446][RFC9155]
0x0204-0x0400,Reserved for backward compatibility,,[RFC8446]
0x0401,rsa_pkcs1_sha256,Y,[RFC8446]
0x0402,Reserved for backward compatibility,,[RFC8446]
0x0403,ecdsa_secp256r1_sha256,Y,[RFC8446]
0x0404-0x041F,Reserved for backward compatibility,,[RFC8446]
0x0420,rsa_pkcs1_sha256_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0421-0x0500,Reserved for backward compatibility,,[RFC8446]
0x0501,rsa_pkcs1_sha384,Y,[RFC8446]
0x0502,Reserved for backward compatibility,,[RFC8446]
0x0503,ecdsa_secp384r1_sha384,Y,[RFC8446]
0x0504-0x051F,Reserved for backward compatibility,,[RFC8446]
0x0520,rsa_pkcs1_sha384_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0521-0x0600,Reserved for backward compatibility,,[RFC8446]
0x0601,rsa_pkcs1_sha512,Y,[RFC8446]
0x0602,Reserved for backward compatibility,,[RFC8446]
0x0603,ecdsa_secp521r1_sha512,Y,[RFC8446]
0x0604-0x061F,Reserved for backward compatibility,,[RFC8446]
0x0620,rsa_pkcs1_sha512_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0621-0x0703,Reserved for backward compatibility,,[RFC8446]
0x0704,eccsi_sha256,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0705,iso_ibs1,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0706,iso_ibs2,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0707,iso_chinese_ibs,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0708,sm2sig_sm3,N,[RFC8998]
0x0709,gostr34102012_256a,N,[draft-smyshlyaev-tls13-gost-suites]
0x070A,gostr34102012_256b,N,[draft-smyshlyaev-tls13-gost-suites]
0x070B,gostr34102012_256c,N,[draft-smyshlyaev-tls13-gost-suites]
0x070C,gostr34102012_256d,N,[draft-smyshlyaev-tls13-gost-suites]
0x070D,gostr34102012_512a,N,[draft-smyshlyaev-tls13-gost-suites]
0x070E,gostr34102012_512b,N,[draft-smyshlyaev-tls13-gost-suites]
0x070F,gostr34102012_512c,N,[draft-smyshlyaev-tls13-gost-suites]
0x0710-0x07FF,Unassigned,,
0x0800-0x0803,Reserved for backward compatibility,,[RFC8446]
0x0804,rsa_pss_rsae_sha256,Y,[RFC8446]
0x0805,rsa_pss_rsae_sha384,Y,[RFC8446]
0x0806,rsa_pss_rsae_sha512,Y,[RFC8446]
0x0807,ed25519,Y,[RFC8446]
0x0808,ed448,Y,[RFC8446]
0x0809,rsa_pss_pss_sha256,Y,[RFC8446]
0x080A,rsa_pss_pss_sha384,Y,[RFC8446]
0x080B,rsa_pss_pss_sha512,Y,[RFC8446]
0x080C-0x0819,Unassigned,,
0x081A,ecdsa_brainpoolP256r1tls13_sha256,N,[RFC8734]
0x081B,ecdsa_brainpoolP384r1tls13_sha384,N,[RFC8734]
0x081C,ecdsa_brainpoolP512r1tls13_sha512,N,[RFC8734]
0x081D-0x083F,Unassigned,,
0x0840,Reserved for backward compatibility,N,[RFC9189]
0x0841,Reserved for backward compatibility,N,[RFC9189]
0x0842-0x08FF,Unassigned,,
0x0900-0x0903,Reserved for backward compatibility,,[RFC8446]
0x0904-0x09FF,Unassigned,,
0x0A00-0x0A03,Reserved for backward compatibility,,[RFC8446]
0x0A04-0x0AFF,Unassigned,,
0x0B00-0x0B03,Reserved for backward compatibility,,[RFC8446]
0x0B04-0x0BFF,Unassigned,,
0x0C00-0x0C03,Reserved for backward compatibility,,[RFC8446]
0x0C04-0x0CFF,Unassigned,,
0x0D00-0x0D03,Reserved for backward compatibility,,[RFC8446]
0x0D04-0x0DFF,Unassigned,,
0x0E00-0x0E03,Reserved for backward compatibility,,[RFC8446]
0x0E04-0x0EFF,Unassigned,,
0x0F00-0x0F03,Reserved for backward compatibility,,[RFC8446]
0x0F04-0x0FFF,Unassigned,,
0x1000-0x1003,Reserved for backward compatibility,,[RFC8446]
0x1004-0x10FF,Unassigned,,
0x1100-0x1103,Reserved for backward compatibility,,[RFC8446]
0x1104-0x11FF,Unassigned,,
0x1200-0x1203,Reserved for backward compatibility,,[RFC8446]
0x1204-0x12FF,Unassigned,,
0x1300-0x1303,Reserved for backward compatibility,,[RFC8446]
0x1304-0x13FF,Unassigned,,
0x1400-0x1403,Reserved for backward compatibility,,[RFC8446]
0x1404-0x14FF,Unassigned,,
0x1500-0x1503,Reserved for backward compatibility,,[RFC8446]
0x1504-0x15FF,Unassigned,,
0x1600-0x1603,Reserved for backward compatibility,,[RFC8446]
0x1604-0x16FF,Unassigned,,
0x1700-0x1703,Reserved for backward compatibility,,[RFC8446]
0x1704-0x17FF,Unassigned,,
0x1800-0x1803,Reserved for backward compatibility,,[RFC8446]
0x1804-0x18FF,Unassigned,,
0x1900-0x1903,Reserved for backward compatibility,,[RFC8446]
0x1904-0x19FF,Unassigned,,
0x1A00-0x1A03,Reserved for backward compatibility,,[RFC8446]
0x1A04-0x1AFF,Unassigned,,
0x1B00-0x1B03,Reserved for backward compatibility,,[RFC8446]
0x1B04-0x1BFF,Unassigned,,
0x1C00-0x1C03,Reserved for backward compatibility,,[RFC8446]
0x1C04-0x1CFF,Unassigned,,
0x1D00-0x1D03,Reserved for backward compatibility,,[RFC8446]
0x1D04-0x1DFF,Unassigned,,
0x1E00-0x1E03,Reserved for backward compatibility,,[RFC8446]
0x1E04-0x1EFF,Unassigned,,
0x1F00-0x1F03,Reserved for backward compatibility,,[RFC8446]
0x1F04-0x1FFF,Unassigned,,
0x2000-0x2003,Reserved for backward compatibility,,[RFC8446]
0x2004-0x20FF,Unassigned,,
0x2100-0x2103,Reserved for backward compatibility,,[RFC8446]
0x2104-0x21FF,Unassigned,,
0x2200-0x2203,Reserved for backward compatibility,,[RFC8446]
0x2204-0x22FF,Unassigned,,
0x2300-0x2303,Reserved for backward compatibility,,[RFC8446]
0x2304-0x23FF,Unassigned,,
0x2400-0x2403,Reserved for backward compatibility,,[RFC8446]
0x2404-0x24FF,Unassigned,,
0x2500-0x2503,Reserved for backward compatibility,,[RFC8446]
0x2504-0x25FF,Unassigned,,
0x2600-0x2603,Reserved for backward compatibility,,[RFC8446]
0x2604-0x26FF,Unassigned,,
0x2700-0x2703,Reserved for backward compatibility,,[RFC8446]
0x2704-0x27FF,Unassigned,,
0x2800-0x2803,Reserved for backward compatibility,,[RFC8446]
0x2804-0x28FF,Unassigned,,
0x2900-0x2903,Reserved for backward compatibility,,[RFC8446]
0x2904-0x29FF,Unassigned,,
0x2A00-0x2A03,Reserved for backward compatibility,,[RFC8446]
0x2A04-0x2AFF,Unassigned,,
0x2B00-0x2B03,Reserved for backward compatibility,,[RFC8446]
0x2B04-0x2BFF,Unassigned,,
0x2C00-0x2C03,Reserved for backward compatibility,,[RFC8446]
0x2C04-0x2CFF,Unassigned,,
0x2D00-0x2D03,Reserved for backward compatibility,,[RFC8446]
0x2D04-0x2DFF,Unassigned,,
0x2E00-0x2E03,Reserved for backward compatibility,,[RFC8446]
0x2E04-0x2EFF,Unassigned,,
0x2F00-0x2F03,Reserved for backward compatibility,,[RFC8446]
0x2F04-0x2FFF,Unassigned,,
0x3000-0x3003,Reserved for backward compatibility,,[RFC8446]
0x3004-0x30FF,Unassigned,,
0x3100-0x3103,Reserved for backward compatibility,,[RFC8446]
0x3104-0x31FF,Unassigned,,
0x3200-0x3203,Reserved for backward compatibility,,[RFC8446]
0x3204-0x32FF,Unassigned,,
0x3300-0x3303,Reserved for backward compatibility,,[RFC8446]
0x3304-0x33FF,Unassigned,,
0x3400-0x3403,Reserved for backward compatibility,,[RFC8446]
0x3404-0x34FF,Unassigned,,
0x3500-0x3503,Reserved for backward compatibility,,[RFC8446]
0x3504-0x35FF,Unassigned,,
0x3600-0x3603,Reserved for backward compatibility,,[RFC8446]
0x3604-0x36FF,Unassigned,,
0x3700-0x3703,Reserved for backward compatibility,,[RFC8446]
0x3704-0x37FF,Unassigned,,
0x3800-0x3803,Reserved for backward compatibility,,[RFC8446]
0x3804-0x38FF,Unassigned,,
0x3900-0x3903,Reserved for backward compatibility,,[RFC8446]
0x3904-0x39FF,Unassigned,,
0x3A00-0x3A03,Reserved for backward compatibility,,[RFC8446]
0x3A04-0x3AFF,Unassigned,,
0x3B00-0x3B03,Reserved for backward compatibility,,[RFC8446]
0x3B04-0x3BFF,Unassigned,,
0x3C00-0x3C03,Reserved for backward compatibility,,[RFC8446]
0x3C04-0x3CFF,Unassigned,,
0x3D00-0x3D03,Reserved for backward compatibility,,[RFC8446]
0x3D04-0x3DFF,Unassigned,,
0x3E00-0x3E03,Reserved for backward compatibility,,[RFC8446]
0x3E04-0x3EFF,Unassigned,,
0x3F00-0x3F03,Reserved for backward compatibility,,[RFC8446]
0x3F04-0x3FFF,Unassigned,,
0x4000-0x4003,Reserved for backward compatibility,,[RFC8446]
0x4004-0x40FF,Unassigned,,
0x4100-0x4103,Reserved for backward compatibility,,[RFC8446]
0x4104-0x41FF,Unassigned,,
0x4200-0x4203,Reserved for backward compatibility,,[RFC8446]
0x4204-0x42FF,Unassigned,,
0x4300-0x4303,Reserved for backward compatibility,,[RFC8446]
0x4304-0x43FF,Unassigned,,
0x4400-0x4403,Reserved for backward compatibility,,[RFC8446]
0x4404-0x44FF,Unassigned,,
0x4500-0x4503,Reserved for backward compatibility,,[RFC8446]
0x4504-0x45FF,Unassigned,,
0x4600-0x4603,Reserved for backward compatibility,,[RFC8446]
0x4604-0x46FF,Unassigned,,
0x4700-0x4703,Reserved for backward compatibility,,[RFC8446]
0x4704-0x47FF,Unassigned,,
0x4800-0x4803,Reserved for backward compatibility,,[RFC8446]
0x4804-0x48FF,Unassigned,,
0x4900-0x4903,Reserved for backward compatibility,,[RFC8446]
0x4904-0x49FF,Unassigned,,
0x4A00-0x4A03,Reserved for backward compatibility,,[RFC8446]
0x4A04-0x4AFF,Unassigned,,
0x4B00-0x4B03,Reserved for backward compatibility,,[RFC8446]
0x4B04-0x4BFF,Unassigned,,
