Number,Organization,Contact Information
0,Reserved,[RFC3219]
1-255,Private Use,[RFC3219]
256,"Hyjynx Technology Systems, Inc.",[<jtodd&loligo.com>]
257,Netgeeks Consulting,[Chris_A_Icide]
258,"Seiri, Inc.",[Bob_Bownes]
259,"Tellocorp, Inc.",[<itad&tellocorp.com>]
260,Internet2,[Benjamin_Teitelbaum]
261,"pulver.com Enterprises, Inc.",[Ed_Guy]
262,"Free World Dialup, L.L.C",[Ed_Guy]
263,"Zeta Psi Educational Foundation, Inc",[Tim_Kennedy]
264,Hofstra University,[Henry_Meyer]
265,"The EmC, Inc.",[Ed_Guy_2]
266,BizFu,[Danielle_Deibler]
267,"MRnet, c/o IST",[Ron_Dallmeier]
268,"Stealth Communications, Inc.",[Shrihari_Pandit]
269,"University of California, Los Angeles, UCLA Communications Technology Services",[Michael_Van_Norman]
270,Massachusetts Institute of Technology,[Mark_Silis]
271,The Sjobeck Company LLC,[Jason_Sjobeck]
272,UtterVaporWare,[Andrew_Wuehler]
273,Winnipeg I.T. Ltd.,[Ray_Bowler]
274,Stanford University,[Ronald_Otero]
275,Popper Consulting,[Hernan_Popper]
276,"State Of Oregon, DAS/IRMD/DVS/NOC U510",[Frank_Hoonhout]
277,"University of Alaska Fairbanks, Computing & Communications",[Richard_Machida]
278,"University of California, Berkeley, IST Communication and Network Services",[UC_Berkeley_NOC]
279,Robico Solutions,[Kristine_E_Robinson]
280,"Office of Telecommunications, Florida State University",[Art_Houle]
281,University of Manitoba,[David_Milton]
282,MERLIN,[Grant_Wallin]
283,University of Oregon,[Jose_A_Dominguez]
284,Edvina AB,[Olle_E_Johansson]
285,Webway AB,[Olle_E_Johansson_2]
286,Bredbandstelefoni AB (BBtele),[Olle_E_Johansson_3]
287,System Techniques,[James_W_Laferriere]
288,The Covert Organization,[John_R_Covert]
289,Manitoba New Democratic Party,[Bill_Reid]
290,Iotum Corporation,[Andrew_Hackston]
291,"Digium, Inc.",[Kevin_P_Fleming]
292,"sipcall.com, Inc.",[Christian_Rees]
293,SIP.org,[Christian_Rees_2]
294,hipsip.com,[Christian_Rees_3]
295,Octothorp Organization,[William_F_Acker]
296,voip.snbsip.com Sterling National Bank,[Eliot_Robinson]
297,DC Communications Inc,[Richard_Lamb]
298,Packet Clearing House,[Bill_Woodcock]
299,"WoodyNet, Inc.",[Bill_Woodcock_2]
300,Royal Institute of Technology (KTH),[Jonas_Andersson]
301,RCN Corporation,[Joe_Provo]
302,North East Worcestershire College,[Chris_Hills]
303,ASNET Voice Networking Solutions,[Dave_Cohen]
304,NoAccess.com,[Martin_Winter]
305,InterNetwork Services,[Bob_Bowles]
306,"Apple Computer, Inc.",[Ken_Eddings]
307,"WorldWide Conferencing, LLC",[David_Pollak]
308,WSRCC,[Wolfgang_Rupprecht]
309,University of North Carolina,[Christian_Schlatter]
310,Greenviolet,[Matt_Lewandowsky]
311,"Trent University, Information Technology",[Randy_Neals]
312,"National Public Radio, Inc.",[John_Keator]
313,VoIPteq (part of trc.NET),[E_M_Goldberg]
314,"Metron Computerware, Ltd.",[Lou_Katz]
315,"The University of Texas at Austin, ITS Telecommunications and Networking",[William_Green]
316,SubZeroNet,[Klaus_Alexander_Seistrup]
317,Technomonk Industries,[Mike_Preston]
318,Columbia University,[Alan_Crosswell]
319,sipowa.com,[Michel_Hofongfat]
320,"University of San Diego, The Administrative Computing and Telecommunications Department",[Donald_R_McLaughlin]
321,SIP Broker,[Martin_Burns]
322,Kaiserpfalz EDV-Service,[Roland_T_Lichti]
323,AgileCO,[Ed_Pimentel]
324,GweepNet,[Joe_Provo_2]
325,Computer Center of Ministry of Education,[Dr_Quincy_Wu]
326,Slingerlands Family Medicine,[Jacob_Reider]
327,IdeaSIP,[Neil_Fusillo]
328,RAPCOM,[Guillermo_Solis]
329,KCIP Ltd,[Jonathan_Cohen]
330,BitSIP Network,[BitSIP_Administrators]
331,Active Health Consulting,[Joy_Norgard]
332,Medwrite International,[Joy_Norgard_2]
333,Network Voice,[Brian_Capouch]
334,"University of California, Santa Cruz",[Mark_Boolootian]
335,TelEvolution Inc.,[David_Beckemeyer]
336,Potlatch Corporation,[Ken_Smith]
337,Snerpa ehf.,[Bjorn_Davidsson_2]
338,"Popvox, LLC",[David_C_Troy]
339,DF Communications,[Edward_Pena]
340,ARTdigest,[Radoslav_Nakev]
341,Lancaster University,[Ian_Anderson]
342,Washington State School for the Blind,[Ed_Lukowski]
343,Intouch Voip INC,[Saul_Diaz]
344,Gwinnett ARES,[Paul_Pescitelli]
345,Tim Pozar,[Tim_Pozar]
346,Ingate Systems AB,[Per_Cederqvist]
347,nachtwacht.org,[Walter_Snel]
348,CASharp Engineering,[Craig_Sharp]
349,GNT Holdings Pty Ltd,[Garry_Brook]
350,Zetron Inc,[Garry_Brook_2]
351,"SIP Happens, LLC",[Jason_Garland]
352,UCSB Communications Services,[John_Haskins]
353,M&M Consulting,[Mark_Schleifer]
354,Liverpool John Moores University,[John_Windle]
355,Victoria Free-Net Association,[Gareth_Shearman]
356,Premier Mac Technologies,[David_Provine]
357,Cogent Communications,[Cogent_Admins]
358,Ed Greenberg Technical Services Corporation,[Ed_Greenberg]
359,CED srl,[Stefano_Brandimarte]
360,Teresa Jones,[Teresa_Jones]
361,Kansas State University Telecom,[Kurt_Zoglmann]
362,Université Montpellier III -- Paul Valery,[Jean_Marie_Kubek]
363,Nokia,[Andrew_Christian]
364,The University of Queensland,[Rodney_McDuff]
365,Interatel LLC.,[Patrick_Wills]
366,"Intercel Telecoms Group, Inc.",[Daniel_Corbe]
367,"University of California, Davis",[Kevin_Mayeshiro]
368,JHCloos,[James_Cloos]
369,"UITS Telecommunications, Indiana University",[Mark_Spencer]
370,Stutzman Technology Services,[Jason_Stutzman]
371,"Tellme Networks, Inc.",[Alan_Chiu]
372,Mitel Corporation,[Dan_York]
373,Ipacia,[Justin_McGuire]
374,"Sunergon Information Services, Inc.",[Pieter_Nagel]
375,Lessing Research Laboratories,[Leon_Lessing]
376,"My DNS Direct, Inc.",[Binyomin_Kolodny]
377,CyanFOX,[Cyan_Fox]
378,The Sudarkoffs',[George_Sudarkoff]
379,Woods Hole Oceanographic Institution,[Arthur_S_Gaylord]
380,Novso,[Nicolas_Deffayet]
381,Lithium Technologies,[Nathan_Lutchansky]
382,"Colorado State University, Telecommunications",[Kyle_Haefner]
383,Michigan VHF Corp.,[Vince_Vielhaber]
384,JT Cloe,[Jerry_Cloe]
385,Advanced Science and Technology Institute,[Cesar_S_Dideles_Jr]
386,freeZion,[Jason_Ross]
387,Sterling Resource Funding Corp.,[Dave_Hammond]
388,"Freedom Network, Inc.",[Nicholas_D_Polcz]
389,GroupServers,[Michael_Sprague]
390,Amethyst Communications Limited,[Steve_Watts]
391,Touch Telecom Limited,[Aaron_Payne]
392,Northline Limited,[Aaron_Payne_2]
393,Synergy Corp UK Ltd.,[Thomas_Bhatia]
394,Glorb Internet Services,[Geoff_Brozny]
395,Georgia Institute of Technology,[Cas_D_Angelo]
396,"Brookhaven National Laboratory, ITD Division",[John_Bigrow]
397,University of Maine System,[Jeff_Letourneau]
398,"University of Pennsylvania, Networking & Telecommunications Department",[Shumon_Huque]
399,SunISP Inc.,[Alexandru_Deac]
400,Consortium GARR,[Gabriella_Paolini]
401,"Synyn, Dept: IT",[Ray_Cormier]
402,Shin Yang Sdn Bhd,[Tony_Ling]
403,Baylabs.com,[Maverick_Wong]
404,"TalkPlus, Inc.",[John_Todd]
405,VoiceMetrix Corporation,[Robert_Mayo]
